block,target_1,target_2,category,orientation,identity,duration,stim_jit
1,letter_06,false_font_19,letter,center,letter_19,0.506666666666667,0.28
1,letter_06,false_font_19,false_font,center,false_font_19,1.49333333333333,0.386666666666667
1,letter_06,false_font_19,object,right,object_18,1.49333333333333,0.8
1,letter_06,false_font_19,letter,left,letter_14,1.49333333333333,0.413333333333333
1,letter_06,false_font_19,object,center,object_15,1.49333333333333,0.506666666666667
1,letter_06,false_font_19,face,left,face_02,1,0.213333333333333
1,letter_06,false_font_19,object,right,object_05,0.506666666666667,0.266666666666667
1,letter_06,false_font_19,false_font,center,false_font_17,0.506666666666667,0.64
1,letter_06,false_font_19,false_font,center,false_font_09,1.49333333333333,0.28
1,letter_06,false_font_19,letter,left,letter_10,1,0.213333333333333
1,letter_06,false_font_19,face,left,face_08,0.506666666666667,0.64
1,letter_06,false_font_19,false_font,right,false_font_19,1.49333333333333,0.32
1,letter_06,false_font_19,letter,center,letter_06,1.49333333333333,0.4
1,letter_06,false_font_19,letter,center,letter_18,1,0.253333333333333
1,letter_06,false_font_19,false_font,right,false_font_16,0.506666666666667,0.293333333333333
1,letter_06,false_font_19,letter,left,letter_11,1,0.773333333333333
1,letter_06,false_font_19,face,center,face_03,1.49333333333333,0.546666666666667
1,letter_06,false_font_19,letter,right,letter_20,0.506666666666667,0.226666666666667
1,letter_06,false_font_19,false_font,center,false_font_09,1,0.213333333333333
1,letter_06,false_font_19,face,right,face_09,1.49333333333333,0.306666666666667
1,letter_06,false_font_19,face,center,face_17,1,0.253333333333333
1,letter_06,false_font_19,object,center,object_03,1,0.226666666666667
1,letter_06,false_font_19,object,left,object_07,0.506666666666667,0.373333333333333
1,letter_06,false_font_19,letter,right,letter_15,1,0.36
1,letter_06,false_font_19,false_font,center,false_font_07,1.49333333333333,0.4
1,letter_06,false_font_19,false_font,right,false_font_06,1.49333333333333,0.24
1,letter_06,false_font_19,face,center,face_07,1,0.48
1,letter_06,false_font_19,letter,right,letter_18,1.49333333333333,0.266666666666667
1,letter_06,false_font_19,letter,left,letter_06,1.49333333333333,0.506666666666667
1,letter_06,false_font_19,false_font,right,false_font_20,1,0.28
1,letter_06,false_font_19,object,left,object_18,0.506666666666667,0.24
1,letter_06,false_font_19,face,left,face_12,0.506666666666667,0.24
1,letter_06,false_font_19,false_font,left,false_font_12,1,0.453333333333333
1,letter_06,false_font_19,face,center,face_15,0.506666666666667,1.12
1,letter_06,false_font_19,object,right,object_01,1.49333333333333,0.213333333333333
1,letter_06,false_font_19,object,right,object_14,0.506666666666667,0.426666666666667
2,letter_05,false_font_16,face,left,face_04,0.506666666666667,0.226666666666667
2,letter_05,false_font_16,letter,center,letter_16,0.506666666666667,0.426666666666667
2,letter_05,false_font_16,object,center,object_10,0.506666666666667,0.573333333333333
2,letter_05,false_font_16,face,center,face_11,1,1.08
2,letter_05,false_font_16,face,center,face_09,0.506666666666667,0.4
2,letter_05,false_font_16,letter,center,letter_06,1.49333333333333,0.68
2,letter_05,false_font_16,letter,center,letter_05,0.506666666666667,0.333333333333333
2,letter_05,false_font_16,object,right,object_20,0.506666666666667,0.306666666666667
2,letter_05,false_font_16,face,right,face_06,1,0.533333333333333
2,letter_05,false_font_16,letter,center,letter_18,1,0.6
2,letter_05,false_font_16,letter,center,letter_01,0.506666666666667,0.306666666666667
2,letter_05,false_font_16,letter,center,letter_18,0.506666666666667,0.266666666666667
2,letter_05,false_font_16,false_font,right,false_font_16,0.506666666666667,0.346666666666667
2,letter_05,false_font_16,letter,center,letter_14,1,0.253333333333333
2,letter_05,false_font_16,object,center,object_13,0.506666666666667,0.373333333333333
2,letter_05,false_font_16,object,center,object_02,0.506666666666667,0.36
2,letter_05,false_font_16,object,center,object_10,1,0.28
2,letter_05,false_font_16,face,center,face_13,0.506666666666667,0.426666666666667
2,letter_05,false_font_16,false_font,center,false_font_02,1,0.466666666666667
2,letter_05,false_font_16,letter,center,letter_04,0.506666666666667,0.32
2,letter_05,false_font_16,face,center,face_04,1,0.213333333333333
2,letter_05,false_font_16,object,center,object_04,0.506666666666667,0.44
2,letter_05,false_font_16,false_font,center,false_font_11,1,0.32
2,letter_05,false_font_16,letter,center,letter_11,0.506666666666667,0.226666666666667
2,letter_05,false_font_16,false_font,left,false_font_16,1.49333333333333,0.84
2,letter_05,false_font_16,object,center,object_20,0.506666666666667,0.293333333333333
2,letter_05,false_font_16,false_font,left,false_font_11,1,0.413333333333333
2,letter_05,false_font_16,false_font,center,false_font_07,1.49333333333333,0.32
2,letter_05,false_font_16,face,left,face_19,1,0.4
2,letter_05,false_font_16,false_font,left,false_font_15,1,0.213333333333333
2,letter_05,false_font_16,letter,right,letter_05,1,0.24
2,letter_05,false_font_16,false_font,center,false_font_03,1,0.293333333333333
2,letter_05,false_font_16,false_font,right,false_font_06,0.506666666666667,0.226666666666667
2,letter_05,false_font_16,face,center,face_13,1,0.213333333333333
2,letter_05,false_font_16,object,right,object_17,1.49333333333333,0.32
2,letter_05,false_font_16,false_font,center,false_font_18,1,0.306666666666667
3,face_20,object_18,object,center,object_18,1.49333333333333,0.266666666666667
3,face_20,object_18,object,right,object_10,1.49333333333333,0.346666666666667
3,face_20,object_18,letter,right,letter_07,1.49333333333333,0.333333333333333
3,face_20,object_18,false_font,center,false_font_14,0.506666666666667,0.226666666666667
3,face_20,object_18,object,center,object_01,0.506666666666667,0.693333333333333
3,face_20,object_18,false_font,center,false_font_20,1,0.24
3,face_20,object_18,face,left,face_08,1.49333333333333,0.32
3,face_20,object_18,face,center,face_17,0.506666666666667,0.333333333333333
3,face_20,object_18,letter,center,letter_12,0.506666666666667,0.266666666666667
3,face_20,object_18,letter,center,letter_20,1,0.24
3,face_20,object_18,face,center,face_20,0.506666666666667,0.853333333333333
3,face_20,object_18,letter,center,letter_19,1,0.253333333333333
3,face_20,object_18,false_font,center,false_font_03,1.49333333333333,0.64
3,face_20,object_18,object,center,object_10,1.49333333333333,0.453333333333333
3,face_20,object_18,object,left,object_01,1.49333333333333,0.773333333333333
3,face_20,object_18,face,right,face_04,1,0.56
3,face_20,object_18,face,center,face_03,1,0.28
