trial,block,target_1,target_2,task_relevance,category,duration,SOA,SOA_lock,pitch,orientation,identity,stim_jit
1,1,letter_19,false_font_14,non-target,false_font,1.49333333333333,0.232,onset,high,center,false_font_01,0.78
2,1,letter_19,false_font_14,target,letter,0.506666666666667,0.116,onset,low,center,letter_19,0.9
3,1,letter_19,false_font_14,irrelevant,face,1,0,offset,low,right,face_16,1.14
4,1,letter_19,false_font_14,non-target,false_font,1,0.466,onset,high,center,false_font_05,0.806666666666667
5,1,letter_19,false_font_14,non-target,false_font,0.506666666666667,0.232,onset,low,right,false_font_01,1.3
6,1,letter_19,false_font_14,target,false_font,1,0.232,offset,high,left,false_font_14,0.713333333333333
7,1,letter_19,false_font_14,irrelevant,object,1.49333333333333,0,offset,low,right,object_18,0.966666666666667
8,1,letter_19,false_font_14,irrelevant,object,1.49333333333333,0.232,onset,high,center,object_05,0.9
9,1,letter_19,false_font_14,non-target,letter,1,0,onset,high,center,letter_01,0.94
10,1,letter_19,false_font_14,irrelevant,object,0.506666666666667,0.116,onset,high,center,object_17,1.00666666666667
11,1,letter_19,false_font_14,irrelevant,face,1.49333333333333,0.232,offset,high,center,face_10,0.806666666666667
12,1,letter_19,false_font_14,target,false_font,1,0.466,onset,high,right,false_font_14,1.19333333333333
13,1,letter_19,false_font_14,non-target,false_font,0.506666666666667,0,onset,low,right,false_font_02,0.74
14,1,letter_19,false_font_14,irrelevant,object,1,0.232,offset,low,left,object_19,1.20666666666667
15,1,letter_19,false_font_14,target,letter,1,0.466,onset,high,right,letter_19,0.86
16,1,letter_19,false_font_14,irrelevant,object,1.49333333333333,0.116,offset,high,center,object_14,0.78
17,1,letter_19,false_font_14,non-target,false_font,1.49333333333333,0.232,offset,high,right,false_font_07,0.966666666666667
18,1,letter_19,false_font_14,irrelevant,object,1.49333333333333,0,offset,high,center,object_03,0.713333333333333
19,1,letter_19,false_font_14,non-target,letter,1,0.116,offset,high,left,letter_10,0.74
20,1,letter_19,false_font_14,irrelevant,face,1,0.116,onset,high,center,face_02,0.74
21,1,letter_19,false_font_14,irrelevant,face,1.49333333333333,0.466,offset,low,center,face_19,0.833333333333333
22,1,letter_19,false_font_14,non-target,false_font,1.49333333333333,0.466,onset,low,center,false_font_13,0.78
23,1,letter_19,false_font_14,non-target,letter,1.49333333333333,0.116,onset,high,center,letter_11,0.726666666666667
24,1,letter_19,false_font_14,non-target,letter,1.49333333333333,0,offset,low,left,letter_03,0.913333333333333
25,1,letter_19,false_font_14,irrelevant,face,1.49333333333333,0,onset,high,left,face_08,0.74
26,1,letter_19,false_font_14,irrelevant,face,1.49333333333333,0.466,onset,high,center,face_10,0.833333333333333
27,1,letter_19,false_font_14,irrelevant,object,0.506666666666667,0,offset,low,center,object_11,1.27333333333333
28,1,letter_19,false_font_14,non-target,letter,0.506666666666667,0,offset,high,center,letter_17,0.806666666666667
29,1,letter_19,false_font_14,irrelevant,face,1,0.232,offset,high,left,face_08,1.71333333333333
30,1,letter_19,false_font_14,non-target,false_font,1.49333333333333,0.116,offset,low,left,false_font_06,0.806666666666667
31,1,letter_19,false_font_14,non-target,letter,0.506666666666667,0.116,offset,low,left,letter_03,0.753333333333333
32,1,letter_19,false_font_14,irrelevant,object,0.506666666666667,0,onset,low,center,object_02,0.7
33,1,letter_19,false_font_14,target,false_font,1,0.116,offset,low,center,false_font_14,0.846666666666667
34,1,letter_19,false_font_14,irrelevant,face,1,0.232,onset,high,left,face_18,0.726666666666667
35,1,letter_19,false_font_14,target,letter,1.49333333333333,0.466,offset,high,right,letter_19,0.74
