task;is_practice;block;trial;target_01;target_02;task_relevance;category;orientation;identity;duration;stim_jit;SOA;SOA_lock;pitch;onset_SOA
prp;0;1;1;face_01;object_05;target;face;right;face_01;1;1,290246899;0,466;onset;1100;0,466
prp;0;1;2;face_01;object_05;irrelevant;letter;right;letter_17;1,5;1,845768123;0;onset;1000;0
prp;0;1;3;face_01;object_05;irrelevant;false_font;center;false_font_16;1,5;1,304373259;0,466;onset;1000;0,466
prp;0;1;4;face_01;object_05;non-target;object;center;object_18;0,5;0,985409811;0,232;onset;1100;0,232
prp;0;1;5;face_01;object_05;irrelevant;letter;left;letter_06;1;0,766211193;0,116;onset;1000;0,116
prp;0;1;6;face_01;object_05;irrelevant;false_font;left;false_font_10;1,5;1,598123147;0;offset;1000;1,5
prp;0;1;7;face_01;object_05;non-target;face;center;face_13;1,5;1,222368912;0;offset;1000;1,5
prp;0;1;8;face_01;object_05;irrelevant;false_font;right;false_font_01;1;0,762374139;0,116;offset;1100;1,116
prp;0;1;9;face_01;object_05;non-target;face;left;face_04;1;0,977660597;0,466;offset;1100;1,466
prp;0;1;10;face_01;object_05;non-target;object;center;object_15;1;1,612812076;0;offset;1100;1
prp;0;1;11;face_01;object_05;non-target;object;left;object_06;1;1,3004101;0,466;offset;1000;1,466
prp;0;1;12;face_01;object_05;irrelevant;letter;left;letter_17;0,5;1,271591314;0,466;offset;1100;0,966
prp;0;1;13;face_01;object_05;non-target;object;right;object_18;0,5;1,259938339;0,466;offset;1000;0,966
prp;0;1;14;face_01;object_05;non-target;object;right;object_09;1,5;1,072182959;0;offset;1100;1,5
prp;0;1;15;face_01;object_05;irrelevant;false_font;center;false_font_07;1,5;1,326577797;0;onset;1000;0
prp;0;1;16;face_01;object_05;irrelevant;false_font;right;false_font_14;1;1,10555683;0,232;offset;1000;1,232
prp;0;1;17;face_01;object_05;non-target;object;left;object_12;1,5;1,170593321;0,466;onset;1100;0,466
prp;0;1;18;face_01;object_05;non-target;object;center;object_07;1,5;1,033706882;0,466;offset;1100;1,966
prp;0;1;19;face_01;object_05;irrelevant;false_font;center;false_font_02;0,5;1,096502131;0;offset;1100;0,5
prp;0;1;20;face_01;object_05;irrelevant;false_font;left;false_font_02;0,5;1,612485565;0,116;offset;1100;0,616
prp;0;1;21;face_01;object_05;irrelevant;letter;right;letter_11;1;1,570618543;0,116;onset;1100;0,116
prp;0;1;22;face_01;object_05;irrelevant;letter;right;letter_17;0,5;0,964682918;0,466;offset;1000;0,966
prp;0;1;23;face_01;object_05;irrelevant;false_font;left;false_font_05;1;0,852041836;0,116;onset;1100;0,116
prp;0;1;24;face_01;object_05;irrelevant;false_font;center;false_font_16;1,5;1,260462023;0,232;offset;1000;1,732
prp;0;1;25;face_01;object_05;non-target;object;center;object_07;0,5;0,827523057;0,466;onset;1000;0,466
prp;0;1;26;face_01;object_05;non-target;object;right;object_08;1;1,48734078;0,466;onset;1000;0,466
prp;0;1;27;face_01;object_05;irrelevant;false_font;right;false_font_07;1,5;0,891557891;0,466;offset;1100;1,966
prp;0;1;28;face_01;object_05;non-target;face;center;face_08;1,5;1,603622133;0,116;onset;1000;0,116
prp;0;1;29;face_01;object_05;irrelevant;false_font;center;false_font_19;1,5;0,884670474;0,232;offset;1000;1,732
prp;0;1;30;face_01;object_05;non-target;face;center;face_18;0,5;1,163295896;0;onset;1000;0
prp;0;1;31;face_01;object_05;target;face;left;face_01;0,5;0,849564266;0,116;offset;1100;0,616
prp;0;1;32;face_01;object_05;non-target;face;center;face_02;1,5;1,427485571;0,466;onset;1100;0,466
prp;0;1;33;face_01;object_05;non-target;face;left;face_13;1;1,640837873;0,232;onset;1100;0,232
prp;0;1;34;face_01;object_05;non-target;face;center;face_16;0,5;0,915288658;0,116;offset;1100;0,616
prp;0;1;35;face_01;object_05;target;object;right;object_05;1;0,925016102;0,116;offset;1100;1,116
prp;0;2;1;face_16;object_04;irrelevant;false_font;left;false_font_03;0,5;0,938628037;0,116;offset;1000;0,616
prp;0;2;2;face_16;object_04;non-target;object;center;object_15;1;0,700896304;0,116;offset;1100;1,116
prp;0;2;3;face_16;object_04;irrelevant;letter;right;letter_14;0,5;1,022684207;0;onset;1000;0
prp;0;2;4;face_16;object_04;irrelevant;letter;left;letter_17;1,5;1,102783881;0,466;onset;1000;0,466
prp;0;2;5;face_16;object_04;irrelevant;false_font;left;false_font_09;1;0,769970875;0,232;offset;1100;1,232
prp;0;2;6;face_16;object_04;non-target;face;center;face_12;1;1,29568325;0,232;offset;1100;1,232
prp;0;2;7;face_16;object_04;irrelevant;false_font;right;false_font_15;1,5;1,290527778;0,466;onset;1100;0,466
prp;0;2;8;face_16;object_04;non-target;object;right;object_19;1,5;1,561777148;0,466;onset;1100;0,466
prp;0;2;9;face_16;object_04;irrelevant;letter;right;letter_02;1,5;1,512789032;0,116;onset;1000;0,116
prp;0;2;10;face_16;object_04;non-target;face;left;face_02;1;0,700091879;0,116;onset;1100;0,116
prp;0;2;11;face_16;object_04;non-target;face;right;face_18;1;1,584852651;0,116;offset;1000;1,116
prp;0;2;12;face_16;object_04;irrelevant;false_font;left;false_font_02;1,5;0,897059142;0,466;onset;1100;0,466
prp;0;2;13;face_16;object_04;non-target;face;center;face_14;1,5;1,019922478;0,466;onset;1000;0,466
prp;0;2;14;face_16;object_04;non-target;face;center;face_03;0,5;0,900977752;0,116;offset;1100;0,616
prp;0;2;15;face_16;object_04;irrelevant;false_font;center;false_font_13;1,5;1,02420549;0,116;onset;1100;0,116
prp;0;2;16;face_16;object_04;non-target;object;center;object_16;1;0,756749919;0,466;onset;1000;0,466
prp;0;2;17;face_16;object_04;target;object;left;object_04;1,5;1,202485959;0,266;offset;1100;1,766
prp;0;2;18;face_16;object_04;non-target;object;center;object_01;1,5;1,053564795;0,232;onset;1100;0,232
prp;0;2;19;face_16;object_04;irrelevant;false_font;left;false_font_12;1,5;1,182997949;0,466;offset;1100;1,966
prp;0;2;20;face_16;object_04;non-target;face;center;face_13;0,5;1,504740936;0,116;onset;1100;0,116
prp;0;2;21;face_16;object_04;irrelevant;letter;center;letter_14;1,5;0,86025406;0,232;onset;1100;0,232
prp;0;2;22;face_16;object_04;irrelevant;letter;center;letter_09;1;1,314954956;0;offset;1000;1
prp;0;2;23;face_16;object_04;non-target;face;center;face_17;1,5;0,907323974;0,232;onset;1100;0,232
prp;0;2;24;face_16;object_04;irrelevant;letter;left;letter_13;1,5;1,478766712;0,116;onset;1000;0,116
prp;0;2;25;face_16;object_04;target;face;left;face_16;0,5;0,753417491;0;onset;1000;0
prp;0;2;26;face_16;object_04;non-target;object;right;object_11;0,5;1,539334063;0,232;offset;1100;0,732
prp;0;2;27;face_16;object_04;irrelevant;letter;right;letter_10;1;1,080862541;0,232;offset;1100;1,232
prp;0;2;28;face_16;object_04;non-target;object;right;object_10;0,5;1,73035226;0;offset;1100;0,5
prp;0;2;29;face_16;object_04;irrelevant;false_font;center;false_font_16;0,5;1,260874642;0,232;offset;1000;0,732
prp;0;2;30;face_16;object_04;non-target;face;left;face_14;1;1,532515616;0,116;offset;1000;1,116
prp;0;2;31;face_16;object_04;irrelevant;letter;right;letter_05;1;1,019322737;0,232;offset;1000;1,232
prp;0;2;32;face_16;object_04;irrelevant;false_font;center;false_font_19;0,5;0,828296142;0,232;offset;1100;0,732
prp;0;2;33;face_16;object_04;non-target;object;right;object_11;1;1,020448171;0,116;offset;1100;1,116
prp;0;2;34;face_16;object_04;non-target;face;center;face_07;0,5;1,970538872;0,466;onset;1100;0,466
prp;0;3;1;letter_09;false_font_04;non-target;false_font;right;false_font_18;0,5;1,56976472;0,466;onset;1000;0,466
prp;0;3;2;letter_09;false_font_04;non-target;letter;left;letter_18;1,5;0,93859099;0,232;offset;1000;1,732
prp;0;3;3;letter_09;false_font_04;non-target;false_font;center;false_font_09;1,5;1,013811492;0,466;onset;1000;0,466
prp;0;3;4;letter_09;false_font_04;irrelevant;object;center;object_03;1,5;0,703188406;0,116;onset;1000;0,116
prp;0;3;5;letter_09;false_font_04;non-target;letter;left;letter_03;1,5;1,059735223;0;onset;1100;0
prp;0;3;6;letter_09;false_font_04;non-target;false_font;left;false_font_08;0,5;1,083924446;0,232;offset;1100;0,732
prp;0;3;7;letter_09;false_font_04;irrelevant;face;right;face_02;1;1,870496791;0;offset;1100;1
prp;0;3;8;letter_09;false_font_04;irrelevant;object;right;object_04;1,5;1,225113018;0,116;onset;1100;0,116
prp;0;3;9;letter_09;false_font_04;irrelevant;face;center;face_15;1;1,741648887;0;offset;1000;1
prp;0;3;10;letter_09;false_font_04;irrelevant;object;right;object_01;1,5;0,864250575;0,116;offset;1000;1,616
prp;0;3;11;letter_09;false_font_04;irrelevant;object;left;object_20;0,5;0,863090114;0,232;onset;1000;0,232
prp;0;3;12;letter_09;false_font_04;non-target;letter;center;letter_16;1,5;1,169859983;0,466;onset;1100;0,466
prp;0;3;13;letter_09;false_font_04;non-target;letter;center;letter_08;0,5;1,085205472;0;onset;1000;0
prp;0;3;14;letter_09;false_font_04;irrelevant;face;left;face_16;1,5;1,829634103;0,466;onset;1000;0,466
prp;0;3;15;letter_09;false_font_04;irrelevant;object;center;object_08;1,5;1,205285939;0,466;offset;1100;1,966
prp;0;3;16;letter_09;false_font_04;target;letter;right;letter_09;0,5;0,844952504;0,116;offset;1100;0,616
prp;0;3;17;letter_09;false_font_04;irrelevant;object;center;object_03;0,5;1,236666512;0,232;onset;1100;0,232
prp;0;3;18;letter_09;false_font_04;target;letter;center;letter_09;0,5;0,897340533;0,466;offset;1100;0,966
prp;0;3;19;letter_09;false_font_04;non-target;letter;left;letter_03;1;1,389499743;0,116;onset;1100;0,116
prp;0;3;20;letter_09;false_font_04;non-target;letter;right;letter_14;1;1,565381668;0,232;onset;1000;0,232
prp;0;3;21;letter_09;false_font_04;non-target;false_font;center;false_font_01;1,5;0,724728685;0;onset;1000;0
prp;0;3;22;letter_09;false_font_04;irrelevant;face;left;face_09;1,5;1,322852765;0,116;onset;1000;0,116
prp;0;3;23;letter_09;false_font_04;target;false_font;left;false_font_04;0,5;0,962572447;0;onset;1000;0
prp;0;3;24;letter_09;false_font_04;non-target;letter;center;letter_14;1,5;0,860282883;0,116;onset;1000;0,116
