trial,block,target_1,target_2,task_relevance,category,duration,SOA,SOA_lock,pitch,orientation,identity,stim_jit,onset_SOA,texture,vis_stim_time,time_of_resp_vis,trial_repsonse_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,has_repsonse_vis
1,1,letter_12,false_font_17,irrelevant,object,1.49333333333333,0.232,onset,low,center,object_03,0.553333333333333,0.232,193,106920.7856654,NaN,cr,34,106921.0185925,0,NaN,NaN,0,0,106922.2726962,106922.7788056,106923.3282535,0,0,0
2,1,letter_12,false_font_17,non-target,letter,1.49333333333333,0.232,offset,high,right,letter_16,0.633333333333333,1.72533333333333,66,106923.3372882,NaN,cr,33,106925.0525221,1100,1,106923.4270086,0,1100,106924.8233905,106925.3298871,106925.9595782,1100,106923.4334699,0
3,1,letter_12,false_font_17,target,false_font,0.506666666666667,0.466,offset,high,left,false_font_17,0.526666666666667,0.972666666666667,167,106925.9659833,106927.5830227,hit,33,106926.9289796,0,NaN,NaN,0,1,106926.4657362,106927.9586545,106928.4815989,1,106927.5879289,1
4,1,letter_12,false_font_17,non-target,false_font,1,0.116,onset,low,left,false_font_04,0.686666666666667,0.116,154,106928.4877379,NaN,cr,34,106928.5940918,1000,1,106929.3113625,0,1000,106929.4801583,106930.4803714,106931.1633524,1000,106929.3146232,0
5,1,letter_12,false_font_17,non-target,letter,1,0.232,onset,low,right,letter_03,0.646666666666667,0.232,53,106931.1716854,NaN,cr,34,106931.3949737,1000,1,106932.0756454,0,1000,106932.1643396,106933.1643035,106933.8074004,1000,106932.0772584,0
6,1,letter_12,false_font_17,irrelevant,object,1,0.232,offset,high,right,object_13,0.526666666666667,1.232,243,106933.8129534,NaN,cr,33,106935.0347185,1100,1,106935.6189621,0,1100,106934.8060984,106935.8051978,106936.3285368,1100,106935.6209698,0
7,1,letter_12,false_font_17,non-target,false_font,1.49333333333333,0.232,onset,high,center,false_font_15,0.753333333333333,0.232,145,106936.3335294,NaN,cr,33,106936.555283,1000,0,106937.279224,0,1000,106937.8194613,106938.3253805,106939.0757734,1000,106937.281361,0
8,1,letter_12,false_font_17,non-target,false_font,1,0,onset,high,left,false_font_07,1.27333333333333,0,157,106939.0802369,NaN,cr,33,106939.0814435,1000,0,106939.8595472,0,1000,106940.0728845,106941.0726344,106942.3425136,1000,106939.8604276,0
9,1,letter_12,false_font_17,target,letter,0.506666666666667,0.232,offset,low,left,letter_12,1.06,0.738666666666667,42,106942.3472977,106943.6070462,hit,34,106943.0755582,0,NaN,NaN,0,1,106942.8477745,106944.339717,106945.396203,1,106943.6086034,1
10,1,letter_12,false_font_17,non-target,false_font,0.506666666666667,0,offset,high,center,false_font_13,0.62,0.506666666666667,143,106945.4002291,NaN,cr,33,106945.8967028,1100,1,106946.4829521,0,1100,106945.9003068,106947.3928411,106948.0091502,1100,106946.4840595,0
11,1,letter_12,false_font_17,non-target,false_font,0.506666666666667,0.232,onset,high,right,false_font_16,1.24666666666667,0.232,186,106948.0138618,NaN,cr,33,106948.2357946,1100,1,106948.8870893,0,1100,106948.5137745,106950.0058431,106951.2494437,1100,106948.8879562,0
12,1,letter_12,false_font_17,irrelevant,object,1,0.466,onset,high,left,object_09,0.54,0.466,219,106951.2541709,NaN,cr,33,106951.709917,1100,1,106952.3393797,0,1100,106952.2468627,106953.2466323,106953.7830766,1100,106952.3402483,0
13,1,letter_12,false_font_17,irrelevant,object,1,0.232,onset,high,center,object_18,0.593333333333333,0.232,208,106953.787595,NaN,cr,33,106954.00939,1100,1,106954.6072609,0,1100,106954.7796946,106955.7796164,106956.3698433,1100,106954.6080515,0
14,1,letter_12,false_font_17,irrelevant,face,0.506666666666667,0.232,onset,low,center,face_19,0.713333333333333,0.232,89,106956.3739737,NaN,cr,34,106956.5956611,1000,1,106957.1953976,0,1000,106956.8736089,106958.3661477,106959.0762108,1000,106957.1961765,0
15,1,letter_12,false_font_17,non-target,letter,0.506666666666667,0.232,onset,low,center,letter_06,0.766666666666667,0.232,16,106959.0806125,NaN,cr,34,106959.3024566,1000,1,106960.2045599,0,1000,106959.5799418,106961.0729738,106961.8361862,1000,106960.2053224,0
16,1,letter_12,false_font_17,target,letter,1.49333333333333,0.232,onset,high,center,letter_12,0.846666666666667,0.232,22,106961.8407304,106962.5392505,hit,33,106962.0627482,0,NaN,NaN,0,1,106963.326472,106963.8327718,106964.6762969,1,106962.5407296,1
17,1,letter_12,false_font_17,non-target,letter,0.506666666666667,0.232,onset,low,right,letter_20,0.62,0.232,70,106964.6808848,NaN,cr,34,106964.9025155,1000,1,106965.5036106,0,1000,106965.1803667,106966.6732842,106967.2897939,1000,106965.5044296,0
18,1,letter_12,false_font_17,non-target,letter,1,0.116,onset,high,center,letter_08,0.566666666666667,0.116,18,106967.2941791,NaN,cr,33,106967.4001542,1100,1,106967.9755559,0,1100,106968.2862404,106969.2859101,106969.8497524,1100,106967.9763774,0
19,1,letter_12,false_font_17,irrelevant,face,1.49333333333333,0,onset,low,left,face_04,0.606666666666667,0,94,106969.8541735,NaN,cr,34,106969.85554,1000,1,106970.4313702,0,1000,106971.3400645,106971.8464716,106972.4497423,1000,106970.4321508,0
20,1,letter_12,false_font_17,irrelevant,object,1,0,offset,low,right,object_15,0.526666666666667,1,245,106972.4542931,NaN,cr,34,106973.443997,1000,1,106973.9833799,0,1000,106973.4479357,106974.446599,106974.9698715,1000,106973.9841663,0
21,1,letter_12,false_font_17,irrelevant,face,1,0.116,onset,low,center,face_08,0.526666666666667,0.116,78,106974.9746839,NaN,cr,34,106975.08077,1000,1,106975.7475125,0,1000,106975.967011,106976.9670986,106977.4902656,1000,106975.7482984,0
22,1,letter_12,false_font_17,irrelevant,face,1.49333333333333,0.116,offset,low,center,face_03,0.86,1.60933333333333,73,106977.4949096,NaN,cr,34,106979.0940069,1000,1,106979.6835669,0,1000,106978.9818352,106979.4881429,106980.3438216,1000,106979.6844067,0
23,1,letter_12,false_font_17,non-target,false_font,1.49333333333333,0,onset,low,center,false_font_02,0.553333333333333,0,132,106980.348533,NaN,cr,34,106980.3498857,1000,1,106980.9311578,0,1000,106981.8341737,106982.3409208,106982.8907724,1000,106980.932111,0
24,1,letter_12,false_font_17,non-target,letter,1,0,offset,high,center,letter_16,0.646666666666667,1,26,106982.8952625,NaN,cr,33,106983.885036,1100,1,106984.4670371,0,1100,106983.8887316,106984.8876982,106985.530835,1100,106984.4679666,0
25,1,letter_12,false_font_17,irrelevant,object,1,0.232,offset,low,center,object_16,0.86,1.232,206,106985.5350389,NaN,cr,34,106986.7569112,1000,1,106987.2433196,0,1000,106986.5280524,106987.5274774,106988.3839614,1000,106987.2440956,0
26,1,letter_12,false_font_17,non-target,false_font,1,0,offset,low,left,false_font_12,1.15333333333333,1,162,106988.3884573,NaN,cr,34,106989.3784491,1000,1,106989.9191792,0,1000,106989.3820759,106990.3809704,106991.5306919,1000,106989.9217888,0
27,1,letter_12,false_font_17,irrelevant,face,1,0,onset,high,center,face_11,0.66,0,81,106991.5352941,NaN,cr,33,106991.5364513,1100,1,106992.1831313,0,1100,106992.5276256,106993.5276731,106994.1842006,1100,106992.1839785,0
28,1,letter_12,false_font_17,non-target,false_font,1,0.232,offset,high,center,false_font_03,0.646666666666667,1.232,133,106994.1886246,NaN,cr,33,106995.4105826,1100,1,106995.9836219,0,1100,106995.1815946,106996.1809527,106996.8242039,1100,106995.9844093,0
29,1,letter_12,false_font_17,irrelevant,face,1.49333333333333,0.116,onset,high,right,face_07,0.606666666666667,0.116,117,106996.8287518,NaN,cr,33,106996.9345558,1100,1,106997.4995518,0,1100,106998.3143175,106998.8210674,106999.4243212,1100,106997.5004015,0
30,1,letter_12,false_font_17,irrelevant,object,1,0.232,offset,high,center,object_12,1.08666666666667,1.232,202,106999.4287609,NaN,cr,33,107000.6508028,1100,1,107001.2435647,0,1100,107000.4217815,107001.420931,107002.5043481,1100,107001.2444071,0
31,1,letter_12,false_font_17,non-target,letter,0.506666666666667,0.232,offset,low,left,letter_06,0.5,0.738666666666667,36,107002.508847,NaN,cr,34,107003.237417,1000,1,107004.0395133,0,1000,107003.0085986,107004.5012432,107004.9977599,1000,107004.0404472,0
32,1,letter_12,false_font_17,irrelevant,face,1,0.232,offset,high,left,face_06,0.686666666666667,1.232,96,107005.002319,NaN,cr,33,107006.2240022,1100,1,107007.3069198,0,1100,107005.9947378,107006.9953998,107007.6778859,1100,107007.3079886,0
33,1,letter_12,false_font_17,target,letter,1,0.466,onset,low,right,letter_12,0.54,0.466,62,107007.6822296,107008.3795538,hit,34,107008.1381517,0,NaN,NaN,0,1,107008.6747215,107009.6744577,107010.2111403,1,107008.3807756,1
34,1,letter_12,false_font_17,irrelevant,object,0.506666666666667,0.232,onset,high,center,object_14,0.553333333333333,0.232,204,107010.2155647,NaN,cr,33,107010.4373243,1100,1,107010.9668913,0,1100,107010.7151186,107012.2080362,107012.7578007,1100,107010.9681543,0
35,1,letter_12,false_font_17,target,false_font,0.506666666666667,0.116,onset,low,left,false_font_17,0.62,0.116,167,107012.7617921,107013.6675676,hit,34,107012.8674163,0,NaN,NaN,0,1,107013.2615774,107014.7543687,107015.3706966,1,107013.6693943,1
36,1,letter_12,false_font_17,target,letter,1,0.116,offset,low,left,letter_12,0.7,1.116,42,107015.3748685,107016.4515524,hit,34,107016.4802198,0,NaN,NaN,0,1,107016.3678071,107017.3673159,107018.0637723,1,107016.4525193,1
37,1,letter_12,false_font_17,non-target,letter,0.506666666666667,0.466,onset,low,center,letter_10,0.58,0.466,20,107018.0685715,NaN,cr,34,107018.5245583,1000,1,107019.1432546,0,1000,107018.5678468,107020.0610599,107020.6374788,1000,107019.1440749,0
38,1,letter_12,false_font_17,irrelevant,face,1,0.232,offset,high,right,face_10,0.553333333333333,1.232,120,107020.6417881,NaN,cr,33,107021.8636568,1100,1,107022.4594664,0,1100,107021.6350786,107022.6338261,107023.1840355,1100,107022.4603298,0
39,2,letter_06,false_font_03,target,letter,1.49333333333333,0.116,offset,high,center,letter_06,0.633333333333333,1.60933333333333,16,107028.0871118,NaN,miss,NaN,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
