trial,block,target_1,target_2,task_relevance,category,duration,SOA,SOA_lock,pitch,orientation,identity,stim_jit,session,onset_SOA,texture,vis_stim_time,time_of_resp_vis,has_repsonse_vis,trial_repsonse_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,TargetScreenOnset,iRT_vis,iRT_aud,RT_vis,RT_aud
1,1,letter_17,false_font_19,irrelevant,object,0.506666666666667,0.232,offset,high,right,object_20,1.03333333333333,1,0.738666666666667,250,179653.7903903,NaN,0,cr,1,179654.5304038,1100,1,179655.2230897,1100,0,179654.2930096,NaN,179655.7798491,179650.529348,128,269,NaN,0.692685900023207
2,1,letter_17,false_font_19,non-target,letter,0.506666666666667,0,offset,low,center,letter_19,0.513333333333333,1,0.506666666666667,29,179659.9773223,NaN,0,cr,2,179660.4747999,1000,1,179661.0836213,1000,0,179660.4811765,NaN,179661.9662656,0,225,357,NaN,0.608821400004672
3,1,letter_17,false_font_19,irrelevant,object,1,0.232,offset,low,left,object_13,0.62,1,1.232,223,179666.6791152,NaN,0,cr,2,179667.9014388,1000,1,179668.3670763,1000,0,179667.6746053,NaN,179668.6682708,0,204,354,NaN,0.465637499990407
4,1,letter_17,false_font_19,non-target,letter,1,0,onset,high,right,letter_03,0.566666666666667,1,0,53,179672.7097403,NaN,0,cr,1,179672.7124463,1100,1,179673.3747905,1100,0,179673.7054744,NaN,179674.6991557,0,289,436,NaN,0.66234420001274
5,1,letter_17,false_font_19,non-target,letter,1.49333333333333,0.116,offset,low,center,letter_16,1.04666666666667,1,1.60933333333333,26,179678.6630586,NaN,0,cr,2,179680.2639614,0,NaN,NaN,0,0,179680.1516407,NaN,179680.652426,0,289,234,NaN,NaN
6,1,letter_17,false_font_19,non-target,false_font,1.49333333333333,0.116,offset,low,left,false_font_01,0.793333333333333,1,1.60933333333333,151,179685.4022317,NaN,0,cr,2,179687.001823,0,NaN,NaN,0,0,179686.8906245,NaN,179687.3915259,0,352,236,NaN,NaN
7,1,letter_17,false_font_19,target,letter,0.506666666666667,0.116,offset,high,center,letter_17,0.74,1,0.622666666666667,27,179691.449318,NaN,0,miss,1,179692.0621842,1100,1,179692.6436779,1100,0,179691.9511688,NaN,179693.4383387,0,279,290,NaN,0.581493699981365
8,1,letter_17,false_font_19,non-target,false_font,1,0,onset,low,right,false_font_06,0.633333333333333,1,0,176,179697.0525689,NaN,0,cr,2,179697.05408,1000,1,179697.6349788,1000,0,179698.048329,NaN,179699.0416625,0,553,284,NaN,0.580898799991701
9,1,letter_17,false_font_19,irrelevant,object,1,0,onset,low,left,object_14,0.78,1,0,224,179703.3294457,NaN,0,cr,2,179703.331502,1000,1,179704.1152574,1000,0,179704.3252979,NaN,179705.3187374,0,452,276,NaN,0.783755400014343
10,1,letter_17,false_font_19,irrelevant,object,0.506666666666667,0.232,offset,high,center,object_18,0.526666666666667,1,0.738666666666667,208,179709.9396649,NaN,0,cr,1,179710.6683569,1100,1,179711.2074642,1100,0,179710.4413542,NaN,179711.9285839,0,283,267,NaN,0.539107300020987
11,1,letter_17,false_font_19,irrelevant,object,0.506666666666667,0.116,onset,high,right,object_11,0.54,1,0.116,241,179715.5265064,NaN,0,cr,1,179715.6323472,1100,1,179716.3746365,1100,0,179716.0283745,NaN,179717.5156001,0,241,510,NaN,0.742289299989352
12,1,letter_17,false_font_19,target,letter,1,0,onset,high,center,letter_17,0.54,1,0,27,179722.4036763,NaN,0,miss,1,179722.404965,1100,1,179723.1118385,1100,0,179723.399142,NaN,179724.3925903,0,264,488,NaN,0.706873499992071
13,1,letter_17,false_font_19,non-target,false_font,0.506666666666667,0.232,offset,low,center,false_font_14,0.926666666666667,1,0.738666666666667,144,179728.4115992,NaN,0,cr,2,179729.1400342,1000,1,179729.7474484,1000,0,179728.9135054,NaN,179730.4009446,0,231,286,NaN,0.607414199999766
14,1,letter_17,false_font_19,irrelevant,face,0.506666666666667,0.116,offset,high,left,face_03,0.553333333333333,1,0.622666666666667,93,179733.9824503,NaN,0,cr,1,179734.5953432,1100,1,179735.1915014,1100,0,179734.4839218,NaN,179735.9716007,0,264,189,NaN,0.59615820000181
15,1,letter_17,false_font_19,non-target,letter,1,0,onset,low,center,letter_04,0.74,1,0,14,179740.6652913,NaN,0,cr,2,179740.6664851,1000,1,179741.2232813,1000,0,179741.6610037,NaN,179742.6542753,0,413,309,NaN,0.556796199991368
16,1,letter_17,false_font_19,non-target,false_font,1.49333333333333,0,offset,low,center,false_font_06,0.873333333333333,1,1.49333333333333,136,179746.8840144,NaN,0,cr,2,179748.3670945,0,NaN,NaN,0,0,179748.3726962,NaN,179748.8729574,0,284,676,NaN,NaN
