trial,block,target_1,target_2,task_relevance,category,duration,SOA,SOA_lock,pitch,orientation,identity,stim_jit,session,onset_SOA,texture,vis_stim_time,time_of_resp_vis,has_repsonse_vis,trial_repsonse_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,TargetScreenOnset
1,1,letter_20,false_font_16,non-target,letter,1.49333333333333,0.232,onset,high,center,letter_07,0.766666666666667,1,0.232,17,176536.2531344,NaN,0,cr,7,176536.4833177,1100,1,176537.04973,1100,0,176537.764032,176538.2483716,176539.009005,176531.9502767
2,1,letter_20,false_font_16,non-target,false_font,1.49333333333333,0,onset,low,left,false_font_11,0.953333333333333,1,0,161,176539.018279,176539.6702553,1,fa,8,176539.0207811,1000,1,176540.1250241,1,1000,176540.5069612,176541.0126388,176541.9605627,0
3,1,letter_20,false_font_16,irrelevant,face,1,0,onset,low,center,face_07,0.58,1,0,77,176541.9684667,NaN,0,cr,8,176541.971255,1000,1,176542.7494471,1000,0,176542.9634649,176543.964004,176544.5378132,0
4,1,letter_20,false_font_16,irrelevant,object,1,0.466,onset,low,center,object_13,0.66,1,0.466,203,176544.5452984,NaN,0,cr,8,176545.0018053,1000,1,176545.5496742,1000,0,176545.5404374,176546.5408654,176547.194385,0
5,1,letter_20,false_font_16,non-target,letter,1.49333333333333,0,onset,high,left,letter_12,0.806666666666667,1,0,42,176547.2064906,NaN,0,cr,7,176547.211036,1100,1,176547.7849898,1100,0,176548.6954379,176549.2016879,176550.0023821,0
6,1,letter_20,false_font_16,non-target,letter,0.506666666666667,0,onset,high,center,letter_17,1.1,1,0,27,176550.0101543,NaN,0,cr,7,176550.0135597,1100,1,176550.7331867,1100,0,176550.5131553,176552.0070609,176553.099105,0
7,1,letter_20,false_font_16,non-target,letter,0.506666666666667,0.116,onset,low,center,letter_01,0.513333333333333,1,0.116,11,176553.1065426,NaN,0,cr,8,176553.2123095,1000,1,176553.7657718,1000,0,176553.6084553,176555.1015737,176555.6089437,0
8,1,letter_20,false_font_16,irrelevant,face,0.506666666666667,0,offset,low,right,face_01,0.78,1,0.506666666666667,111,176555.6167959,NaN,0,cr,8,176556.1132366,1000,1,176556.6893325,1000,0,176556.1189626,176557.612202,176558.3860912,0
9,1,letter_20,false_font_16,irrelevant,object,1.49333333333333,0.466,offset,low,right,object_15,0.673333333333333,1,1.95933333333333,245,176558.3927651,NaN,0,cr,8,176560.3422457,1000,1,176560.9336091,1000,0,176559.8810417,176560.3879655,176561.0550944,0
10,1,letter_20,false_font_16,non-target,false_font,1.49333333333333,0,onset,high,center,false_font_06,0.806666666666667,1,0,136,176561.0623863,NaN,0,cr,7,176561.0636001,1100,1,176561.6457547,1100,0,176562.5512327,176563.057591,176563.8582671,0
