sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_repsonse_vis,trial_repsonse_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX103,auditory_and_visual,1,0,1,practice_03,practice_10,target,false_font,center,practice_03,1,0.847222222222222,0.116,1.116,offset,1000,253,1383.84457473495,1384.4303543,1,empty,2,1384.9609104,NaN,NaN,1386.0542851,1,1100,1384.85149163941,1385.85146423941,1386.6883417,NaN,NaN,1377.61558949316
SX103,auditory_and_visual,1,0,2,practice_03,practice_10,non-target,false_font,center,false_font_01,1.5,0.777777777777778,0.232,0.232,onset,1100,131,1386.69866501852,NaN,0,,1,1386.9309742,NaN,NaN,1387.7667092,1000,0,1388.20556791405,1388.70554899763,1389.473162,NaN,NaN,0
SX103,auditory_and_visual,1,0,3,practice_03,practice_10,non-target,letter,left,letter_10,1,0.9375,0.116,1.116,offset,1100,40,1389.48330875807,NaN,0,,1,1390.5994745,NaN,NaN,1391.2470387,1100,0,1390.49022604914,1391.49019574914,1392.4174331,NaN,NaN,0
SX103,auditory_and_visual,1,0,4,practice_03,practice_10,non-target,false_font,right,false_font_02,0.5,0.743055555555555,0,0,onset,1000,172,1392.42766833271,NaN,0,,2,1392.4286515,NaN,NaN,1394.0068663,1000,0,1392.93460287673,1394.43455901629,1395.167467,NaN,NaN,0
SX103,auditory_and_visual,1,0,5,practice_03,practice_10,irrelevant,face,center,face_19,1.5,0.833333333333333,0.466,1.966,offset,1000,89,1395.17764671629,NaN,0,,2,1397.143834,NaN,NaN,1397.8304247,1000,0,1396.68449737673,1397.18448395584,1398.0077083,NaN,NaN,0
SX103,auditory_and_visual,1,0,6,practice_03,practice_10,irrelevant,object,center,object_17,0.5,1.00694444444444,0.116,0.116,onset,1100,207,1398.01779353495,NaN,0,,1,1398.1340426,NaN,NaN,1398.7023305,1100,0,1398.52472059763,1400.02468059539,1401.0214049,NaN,NaN,0
SX103,auditory_and_visual,1,0,7,practice_03,practice_10,irrelevant,object,center,object_02,0.5,0.805555555555555,0,0,onset,1000,192,1401.03159448869,NaN,0,,2,1401.0325202,NaN,NaN,1401.5983578,1000,0,1401.53852373495,1403.03848023941,1403.8337487,NaN,NaN,0
SX103,auditory_and_visual,1,0,8,practice_03,practice_10,non-target,false_font,center,false_font_05,1,0.805555555555555,0.466,0.466,onset,1100,135,1403.84401353718,NaN,0,,1,1404.3103028,NaN,NaN,1405.0149345,1100,0,1404.85092936031,1405.85090241405,1406.6462429,NaN,NaN,0
SX103,auditory_and_visual,1,0,9,practice_03,practice_10,target,false_font,left,practice_03,1,0.9375,0.232,1.232,offset,1100,265,1406.65644113495,1407.2069444,1,,1,1407.8886159,NaN,NaN,1408.4227182,1,1100,1407.66335588869,1408.66332765807,1409.5904882,NaN,NaN,0
SX103,auditory_and_visual,1,0,10,practice_03,practice_10,irrelevant,object,center,object_01,0.5,1.27083333333333,0.466,0.466,onset,1000,191,1409.60080159763,NaN,0,,2,1410.0669537,NaN,NaN,1410.6783502,1000,0,1410.10772625807,1411.60768615807,1412.8684228,NaN,NaN,0
