sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_repsonse_vis,trial_repsonse_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp
SX103,auditory,1,-2,1,practice_05,practice_08,non-target,false_font,center,false_font_13,1.5,0.777777777777778,0.466,0.466,onset,1000,143,1114.09524615807,NaN,0,empty,2,1114.5637712,NaN,NaN,1115.4301509,1100,0,1115.60213677738,1116.10213691182,1116.8697578,NaN,NaN
SX103,auditory,1,-2,2,practice_05,practice_08,target,letter,right,practice_08,1,0.861111111111111,0.466,0.466,onset,1100,282,1116.87988891852,NaN,0,,1,1117.3466467,NaN,NaN,1118.1339357,1100,0,1117.88680940735,1118.88678230735,1119.7375822,NaN,NaN
SX103,auditory,1,-2,3,practice_05,practice_08,irrelevant,face,left,face_08,1,1.71527777777778,0.232,1.232,offset,1100,98,1119.74786150209,NaN,0,,1,1120.9800017,NaN,NaN,1121.886486,1100,0,1120.75478474914,1121.75474812075,1123.4596738,NaN,NaN
SX103,auditory,1,-2,4,practice_05,practice_08,irrelevant,object,center,object_01,0.5,1.27083333333333,0.466,0.466,onset,1000,191,1123.46998145807,NaN,0,,2,1123.9363509,NaN,NaN,1124.5099854,1000,0,1123.97691187673,1125.47686567897,1126.7375029,NaN,NaN
SX103,auditory,1,-2,5,practice_05,practice_08,irrelevant,object,center,object_02,0.5,0.805555555555555,0,0,onset,1000,192,1126.74766851405,NaN,0,,2,1126.7492152,NaN,NaN,1127.8303443,1000,0,1127.25459899539,1128.75455185584,1129.5498458,NaN,NaN
SX103,auditory,1,-2,6,practice_05,practice_08,target,false_font,right,practice_05,1,1.19444444444444,0.466,0.466,onset,1100,279,1129.56008749986,NaN,0,,1,1130.0262002,NaN,NaN,1130.4703997,1100,0,1130.56700333048,1131.56697424914,1132.7511642,NaN,NaN
SX103,auditory,1,-2,7,practice_05,practice_08,non-target,false_font,left,false_font_13,0.5,1.71527777777778,0.232,0.732,offset,1000,163,1132.76138381629,NaN,0,,2,1133.4934455,NaN,NaN,1134.0299639,1000,0,1133.26831661852,1134.76827145807,1136.473388,NaN,NaN
SX103,auditory,1,-2,8,practice_05,practice_08,non-target,letter,left,letter_03,0.5,0.75,0.116,0.616,offset,1000,33,1136.48350401852,NaN,0,,2,1137.0997036,NaN,NaN,1138.3423634,1100,0,1136.99043085807,1138.49038711852,1139.2303455,NaN,NaN
SX103,auditory,1,-2,9,practice_05,practice_08,irrelevant,face,center,face_10,1.5,0.805555555555555,0.232,1.732,offset,1100,80,1139.24036769763,NaN,0,,1,1140.9727402,NaN,NaN,1141.6542787,1100,0,1140.74726661852,1141.24725523941,1142.0425634,NaN,NaN
SX103,auditory,1,-2,10,practice_05,practice_08,target,letter,center,practice_08,0.5,0.902777777777778,0.116,0.116,onset,1000,258,1142.05278737897,NaN,0,,2,1142.1689616,NaN,NaN,1142.7824798,1000,0,1142.55971539763,1144.05967439763,1144.9522946,NaN,NaN
