sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_repsonse_vis,trial_repsonse_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX103,visual,1,-1,1,practice_01,practice_07,target,false_font,right,practice_01,1,1.19444444444444,0.466,0.466,onset,1100,275,1247.51508251852,NaN,0,empty,NaN,NaN,NaN,NaN,NaN,0,0,1248.52199864165,1249.52197115807,1250.7062351,NaN,NaN,1240.41805103336
SX103,visual,1,-1,2,practice_01,practice_07,non-target,letter,right,letter_13,0.5,0.805555555555555,0.116,0.616,offset,1000,63,1250.71638358869,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1251.22330901852,1252.72326711852,1253.5186722,NaN,NaN,0
SX103,visual,1,-1,3,practice_01,practice_07,irrelevant,object,center,object_01,0.5,1.27083333333333,0.466,0.466,onset,1000,191,1253.52880151852,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1254.03572823941,1255.53568851852,1256.7963698,NaN,NaN,0
SX103,visual,1,-1,4,practice_01,practice_07,non-target,false_font,left,false_font_13,0.5,1.71527777777778,0.232,0.732,offset,1000,163,1256.80648528869,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1257.31341665807,1258.8133741812,1260.518469,NaN,NaN,0
SX103,visual,1,-1,5,practice_01,practice_07,non-target,letter,left,letter_03,0.5,0.75,0.116,0.616,offset,1000,33,1260.52860165584,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1261.03553299763,1262.53548685807,1263.2753131,NaN,NaN,0
SX103,visual,1,-1,6,practice_01,practice_07,non-target,false_font,center,false_font_13,1.5,0.777777777777778,0.466,0.466,onset,1000,143,1263.28546651852,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1264.79236646031,1265.29235339763,1266.0599789,NaN,NaN,0
SX103,visual,1,-1,7,practice_01,practice_07,non-target,false_font,right,false_font_01,0.5,1.29861111111111,0.232,0.232,onset,1000,171,1266.07011079763,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1266.57704247673,1268.07699681852,1269.365387,NaN,NaN,0
SX103,visual,1,-1,8,practice_01,practice_07,target,letter,right,practice_07,1,0.861111111111111,0.466,0.466,onset,1100,281,1269.37557471629,1269.7826221,1,,NaN,NaN,NaN,NaN,NaN,1,0,1270.38249219763,1271.38246063718,1272.2332712,NaN,NaN,0
SX103,visual,1,-1,9,practice_01,practice_07,irrelevant,object,center,object_03,1.5,1.29861111111111,0,1.5,offset,1100,193,1272.24354925137,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1273.75045065807,1274.25043535807,1275.5388097,NaN,NaN,0
SX103,visual,1,-1,10,practice_01,practice_07,irrelevant,object,center,object_14,1.5,0.777777777777778,0.116,1.616,offset,1100,204,1275.54901073718,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1277.05591283495,1277.55589831852,1278.323342,NaN,NaN,0
SX103,visual,1,-1,11,practice_01,practice_07,target,letter,right,practice_07,1.5,0.743055555555555,0.466,1.966,offset,1100,281,1278.3336550745,1278.7666268,1,,NaN,NaN,NaN,NaN,NaN,1,0,1279.84055197897,1280.34053943941,1281.0733841,NaN,NaN,0
SX103,visual,1,-1,12,practice_01,practice_07,non-target,letter,center,letter_11,1.5,0.729166666666667,0.116,0.116,onset,1100,21,1281.0835780745,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1282.59047683718,1283.09045909986,1283.8094365,NaN,NaN,0
SX103,visual,1,-1,13,practice_01,practice_07,non-target,false_font,center,false_font_05,1,0.805555555555555,0.466,0.466,onset,1100,135,1283.81960849763,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1284.82652215807,1285.82651059763,1286.6217959,NaN,NaN,0
SX103,visual,1,-1,14,practice_01,practice_07,irrelevant,face,center,face_19,1.5,0.833333333333333,0.466,1.966,offset,1000,89,1286.63202847897,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1288.13893215807,1288.63896673718,1289.4620202,NaN,NaN,0
SX103,visual,1,-1,15,practice_01,practice_07,irrelevant,object,center,object_02,0.5,0.805555555555555,0,0,onset,1000,192,1289.47222823718,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1289.97915663718,1291.47911259763,1292.2743575,NaN,NaN,0
SX103,visual,1,-1,16,practice_01,practice_07,irrelevant,face,left,face_08,1.5,0.743055555555555,0,0,onset,1100,98,1292.28464787673,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1293.79159655584,1294.29153183718,1295.0244091,NaN,NaN,0
SX103,visual,1,-1,17,practice_01,practice_07,non-target,letter,center,letter_12,0.5,0.805555555555555,0.466,0.466,onset,1000,22,1295.03457023718,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1295.54149929986,1297.04145479763,1297.8367245,NaN,NaN,0
