sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_repsonse_vis,trial_repsonse_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX103,prp,0,24,1,letter_01,false_font_05,target,false_font,center,false_font_05,1.5,1.54861111111111,0,1.5,offset,1100,135,4546.29082779763,4547.0107437,1,empty,1,4547.798924,NaN,NaN,4548.2188111,1,1100,4547.79773005807,4548.29076688343,4549.8359759,NaN,NaN,4539.50629053495
SX103,prp,0,24,2,letter_01,false_font_05,non-target,letter,right,letter_10,1,1.46527777777778,0,0,onset,1000,60,4549.84628373941,NaN,0,,2,4549.8473336,NaN,NaN,4550.6587771,1000,0,4550.85319947673,4551.85317019763,4553.308142,NaN,NaN,0
SX103,prp,0,24,3,letter_01,false_font_05,non-target,false_font,left,false_font_16,0.5,0.777777777777778,0.232,0.732,offset,1100,166,4553.31840525807,NaN,0,,1,4554.0505116,NaN,NaN,4554.5223647,1100,0,4553.82533771852,4555.32529693941,4556.0928554,NaN,NaN,0
SX103,prp,0,24,4,letter_01,false_font_05,irrelevant,face,right,face_17,1.5,0.916666666666667,0.232,0.232,onset,1100,127,4556.10305011852,NaN,0,,1,4556.3352066,NaN,NaN,4556.7947729,1100,0,4557.60995232075,4558.10993727673,4559.0164286,NaN,NaN,0
SX103,prp,0,24,5,letter_01,false_font_05,non-target,false_font,center,false_font_03,1.5,1.29861111111111,0.466,0.466,onset,1100,133,4559.02658235807,NaN,0,,1,4559.4926355,NaN,NaN,4559.8749426,1100,0,4560.53348503941,4561.03347097673,4562.3219273,NaN,NaN,0
SX103,prp,0,24,6,letter_01,false_font_05,irrelevant,object,center,object_11,1,1.19444444444444,0.232,0.232,onset,1100,201,4562.33204651629,NaN,0,,1,4562.5642439,NaN,NaN,4562.9786596,1100,0,4563.3389633678,4564.33893713048,4565.5232203,NaN,NaN,0
SX103,prp,0,24,7,letter_01,false_font_05,non-target,letter,center,letter_04,1,1.44444444444444,0.466,0.466,onset,1000,14,4565.53334487897,NaN,0,,2,4565.9994836,NaN,NaN,4566.4187919,1000,0,4566.5402598745,4567.54023431405,4568.9744478,NaN,NaN,0
SX103,prp,0,24,8,letter_01,false_font_05,irrelevant,object,left,object_11,1.5,1.375,0.232,0.232,onset,1100,221,4568.98463867673,NaN,0,,1,4569.2168566,NaN,NaN,4569.8909294,1100,0,4570.49153883718,4570.99152285807,4572.356322,NaN,NaN,0
SX103,prp,0,24,9,letter_01,false_font_05,irrelevant,object,center,object_12,0.5,0.715277777777778,0.466,0.966,offset,1000,202,4572.36648794914,NaN,0,,2,4573.3327051,NaN,NaN,4573.9302917,1000,0,4572.8734198745,4574.37337141852,4575.0783526,NaN,NaN,0
SX103,prp,0,24,10,letter_01,false_font_05,non-target,letter,center,letter_11,0.5,1.61805555555556,0.116,0.616,offset,1000,21,4575.08863437897,NaN,0,,2,4575.7047988,NaN,NaN,4575.9870469,1000,0,4575.59556207897,4577.09552269763,4578.703241,NaN,NaN,0
