sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_repsonse_vis,trial_repsonse_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset,RT_vis,RT_aud
SX103,prp,0,1,1,letter_07,false_font_16,non-target,false_font,center,false_font_03,1,1.96527777777778,0.116,1.116,offset,1100,133,1622.59482749316,NaN,0,cr,1,1623.7116804,1100,1,1624.4310485,1100,0,1623.60174844914,1624.60171489763,1626.5568583,NaN,NaN,1615.50475733718,NaN,0.719368100000111
SX103,prp,0,1,2,letter_07,false_font_16,non-target,letter,right,letter_08,1.5,1.60416666666667,0.466,1.966,offset,1000,58,1626.5669411678,NaN,0,cr,2,1628.5333065,1000,1,1629.0066038,1000,0,1628.07383895807,1628.57382827673,1630.1676862,NaN,NaN,0,NaN,0.473297300000013
SX103,prp,0,1,3,letter_07,false_font_16,non-target,false_font,center,false_font_09,0.5,0.791666666666667,0.116,0.116,onset,1100,139,1630.17794539539,NaN,0,cr,1,1630.2941783,1100,1,1631.0948407,1100,0,1630.68487813495,1632.18483413718,1632.966284,NaN,NaN,0,NaN,0.800662399999965
SX103,prp,0,1,4,letter_07,false_font_16,irrelevant,object,center,object_17,0.5,0.916666666666667,0,0.5,offset,1100,207,1632.97647941852,NaN,0,cr,1,1633.4845044,1100,1,1633.9270832,1100,0,1633.48341195807,1634.98336989763,1635.8898926,NaN,NaN,0,NaN,0.442578799999865
SX103,prp,0,1,5,letter_07,false_font_16,non-target,letter,center,letter_15,1,0.777777777777778,0.232,1.232,offset,1100,25,1635.90000537897,NaN,0,cr,1,1637.1320796,1100,1,1637.7346342,1100,0,1636.90692467897,1637.90689639763,1638.6743943,NaN,NaN,0,NaN,0.602554600000076
SX103,prp,0,1,6,letter_07,false_font_16,non-target,letter,center,letter_17,1,0.888888888888889,0.116,1.116,offset,1000,27,1638.68465261629,NaN,0,cr,2,1639.8008802,1000,1,1640.2786236,1000,0,1639.69156469986,1640.69154253718,1641.5702613,NaN,NaN,0,NaN,0.477743400000008
SX103,prp,0,1,7,letter_07,false_font_16,non-target,letter,center,letter_02,1.5,1.3125,0,0,onset,1000,12,1641.58040059986,NaN,0,cr,2,1641.5814911,1000,1,1642.1432861,1000,0,1643.08730453718,1643.58728827897,1644.8895989,NaN,NaN,0,NaN,0.561795000000075
SX103,prp,0,1,8,letter_07,false_font_16,non-target,letter,left,letter_19,0.5,1.22222222222222,0,0.5,offset,1000,49,1644.89975473718,NaN,0,cr,2,1645.407797,1000,1,1645.9426331,1000,0,1645.40668551852,1646.90664299763,1648.1186142,NaN,NaN,0,NaN,0.534836099999893
SX103,prp,0,1,9,letter_07,false_font_16,irrelevant,face,left,face_17,1.5,0.861111111111111,0.116,0.116,onset,1000,107,1648.12883091852,NaN,0,cr,2,1648.2448803,1000,1,1648.7671334,1000,0,1649.63573027897,1650.13571533718,1650.9865309,NaN,NaN,0,NaN,0.522253099999944
SX103,prp,0,1,10,letter_07,false_font_16,non-target,letter,center,letter_04,1.5,1.42361111111111,0.466,0.466,onset,1100,14,1650.99680231852,NaN,0,cr,1,1651.4630561,1100,1,1651.9831918,1100,0,1652.50370539539,1653.00369111852,1654.4171209,NaN,NaN,0,NaN,0.520135700000083
