sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX102,prp,0,28,1,letter_04,false_font_13,irrelevant,face,right,face_09,0.5,0.95,0.466,0.466,onset,1100,119,6123.50983874448,NaN,0,empty,1,6123.975948,NaN,NaN,6124.676719,1100,0,6124.00982974942,6125.50978957224,6126.4517249,NaN,NaN,6104.84362072965
SX102,prp,0,28,2,letter_04,false_font_13,irrelevant,object,center,object_19,1,0.95,0.116,1.116,offset,1000,209,6126.45976909695,NaN,0,,2,6127.5760816,NaN,NaN,6128.2177056,1000,0,6127.45973820683,6128.45972368706,6129.4016163,NaN,NaN,0
SX102,prp,0,28,3,letter_04,false_font_13,non-target,false_font,center,false_font_10,1.5,0.716666666666667,0.232,0.232,onset,1000,140,6129.40969377718,NaN,0,,2,6129.6417498,NaN,NaN,6130.1497287,1000,0,6130.90966790988,6131.40964954942,6132.1180456,NaN,NaN,0
SX102,prp,0,28,4,letter_04,false_font_13,non-target,letter,center,letter_09,1.5,1.26666666666667,0.466,1.966,offset,1000,19,6132.12629958212,NaN,0,,2,6134.0923526,NaN,NaN,6134.5638408,1000,0,6133.62630752471,6134.12625194942,6135.3847549,NaN,NaN,0
SX102,prp,0,28,5,letter_04,false_font_13,non-target,letter,center,letter_02,1.5,1.48333333333333,0,0,onset,1100,12,6135.39288918212,NaN,0,,1,6135.3939481,NaN,NaN,6136.0384189,1100,0,6136.89285298212,6137.39283547718,6138.8679631,NaN,NaN,0
SX102,prp,0,28,6,letter_04,false_font_13,irrelevant,object,center,object_02,1,0.766666666666667,0,1,offset,1100,192,6138.87614543459,NaN,0,,1,6139.8772651,NaN,NaN,NaN,0,0,6139.876106692,6140.87609477718,6141.6345854,NaN,NaN,0
SX102,prp,0,28,7,letter_04,false_font_13,irrelevant,face,center,face_13,1,1.63333333333333,0.116,0.116,onset,1000,83,6141.64274507718,NaN,0,,2,6141.7589892,NaN,NaN,6142.3235185,1000,0,6142.642712492,6143.64268634942,6145.2679205,NaN,NaN,0
SX102,prp,0,28,8,letter_04,false_font_13,non-target,false_font,left,false_font_08,1,1.71666666666667,0.466,1.466,offset,1000,158,6145.2759887673,NaN,0,,2,6146.7421157,NaN,NaN,6147.2174965,1000,0,6146.27596167718,6147.27594353459,6148.9843984,NaN,NaN,0
SX102,prp,0,28,9,letter_04,false_font_13,non-target,letter,center,letter_19,1,1.06666666666667,0,1,offset,1000,29,6148.99256450189,NaN,0,,2,6149.9936208,NaN,NaN,6150.9224047,1000,0,6149.99254532965,6150.99252232471,6152.0510921,NaN,NaN,0
SX102,prp,0,28,10,letter_04,false_font_13,target,letter,center,letter_04,1,1.81666666666667,0.466,0.466,onset,1000,14,6152.05915152471,6152.6653969,1,,2,6152.5252675,NaN,NaN,6153.1774134,1,1000,6153.05912953459,6154.05910944942,6155.8674983,NaN,NaN,0
