sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset,RT_vis,RT_aud
SX102,prp,0,1,1,face_13,object_09,irrelevant,letter,center,letter_14,0.5,1.63333333333333,0,0,onset,1000,24,2369.46582402965,NaN,0,cr,2,2369.4695292,1100,0,2370.7380095,1100,0,2369.96581848212,2371.46578058706,2373.0911322,NaN,NaN,2364.91592740189,NaN,1.26848029999974
SX102,prp,0,1,2,face_13,object_09,irrelevant,letter,right,letter_09,1.5,1.85,0,1.5,offset,1100,59,2373.09906463953,NaN,0,cr,1,2374.6001445,1100,1,2375.0690086,1100,0,2374.59904866235,2375.09903013953,2376.9409412,NaN,NaN,0,NaN,0.468864099999792
SX102,prp,0,1,3,face_13,object_09,irrelevant,false_font,center,false_font_19,1.5,1.46666666666667,0.232,0.232,onset,1100,149,2376.94897783953,NaN,0,cr,1,2377.1810573,1100,1,2377.5950261,1100,0,2378.44894422471,2378.94892913953,2380.4075154,NaN,NaN,0,NaN,0.413968800000021
SX102,prp,0,1,4,face_13,object_09,irrelevant,letter,right,letter_02,1,1.91666666666667,0.116,1.116,offset,1100,52,2380.41555703953,NaN,0,cr,1,2381.5316513,1100,1,2382.0992919,1100,0,2381.41553508212,2382.41551263459,2384.3239636,NaN,NaN,0,NaN,0.567640600000232
SX102,prp,0,1,5,face_13,object_09,irrelevant,letter,left,letter_14,1.5,1.36666666666667,0.466,0.466,onset,1000,44,2384.33212896424,NaN,0,cr,2,2384.7982105,1000,1,2385.3010049,1000,0,2385.83210311482,2386.33208997224,2387.6906053,NaN,NaN,0,NaN,0.502794399999857
SX102,prp,0,1,6,face_13,object_09,irrelevant,letter,left,letter_05,0.5,0.85,0.116,0.616,offset,1100,35,2387.69873554447,NaN,0,cr,1,2388.314921,1100,1,2388.7242847,1100,0,2388.19876093953,2389.69867908212,2390.5406442,NaN,NaN,0,NaN,0.409363700000085
SX102,prp,0,1,7,face_13,object_09,non-target,object,left,object_16,1,0.816666666666667,0.466,0.466,onset,1100,226,2390.54866132471,NaN,0,cr,1,2391.0147576,1100,1,2391.8429668,1100,0,2391.54861343648,2392.54861477224,2393.3570744,NaN,NaN,0,NaN,0.828209199999947
SX102,prp,0,1,8,face_13,object_09,non-target,object,left,object_06,1.5,1.03333333333333,0,1.5,offset,1100,216,2393.36525174942,NaN,0,cr,1,2394.8663312,1100,1,2395.2724163,1100,0,2394.86522497718,2395.36519555436,2396.3902924,NaN,NaN,0,NaN,0.406085099999927
SX102,prp,0,1,9,face_13,object_09,non-target,face,right,face_11,1,1.66666666666667,0,0,onset,1100,121,2396.39850131671,2397.3379855,1,fa,1,2396.3996193,1000,0,2399.7762146,1,1000,2397.39848116918,2398.39846622965,2400.0570924,NaN,NaN,0,0.939484183287732,3.37659530000019
SX102,prp,0,1,10,face_13,object_09,irrelevant,false_font,right,false_font_08,1.5,1.21666666666667,0.116,1.616,offset,1100,178,2400.06509642471,NaN,0,cr,1,2401.6812404,1000,0,2402.9232409,1000,0,2401.56506528212,2402.06503809695,2403.2735152,NaN,NaN,0,NaN,1.2420004999999
SX102,prp,0,1,11,face_13,object_09,non-target,object,left,object_03,1.5,1.33333333333333,0.232,1.732,offset,1100,213,2403.28169162965,NaN,0,cr,1,2405.0137891,1000,0,2405.8864592,1000,0,2404.78165150494,2405.28164328212,2406.6068164,NaN,NaN,0,NaN,0.87267010000005
SX102,prp,0,1,12,face_13,object_09,non-target,face,center,face_18,0.5,1.28333333333333,0,0.5,offset,1000,88,2406.61492635436,2407.5782614,1,fa,2,2407.1158927,1000,1,2408.13896,1,1000,2407.11492342471,2408.61490122471,2409.8899434,NaN,NaN,0,0.963335045642452,1.02306730000009
SX102,prp,0,1,13,face_13,object_09,non-target,object,center,object_18,1,1.26666666666667,0.466,1.466,offset,1000,208,2409.89819287718,NaN,0,cr,2,2411.3642272,1000,1,2411.6942339,1000,0,2410.89817232965,2411.89814452471,2413.156617,NaN,NaN,0,NaN,0.330006700000013
SX102,prp,0,1,14,face_13,object_09,non-target,object,right,object_07,1,1.76666666666667,0.232,1.232,offset,1000,237,2413.16478367718,2416.5000004,1,fa,2,2414.3968365,1100,0,2415.4553165,1100,1,2414.1647691673,2415.16473529695,2416.92314,NaN,NaN,0,3.33521672282086,1.05848000000015
SX102,prp,0,1,15,face_13,object_09,irrelevant,letter,center,letter_13,1,1.2,0,0,onset,1100,23,2416.93136170988,NaN,0,cr,1,2416.9325323,0,NaN,NaN,0,0,2417.93133260189,2418.93131668706,2420.1230697,NaN,NaN,0,NaN,NaN
SX102,prp,0,1,16,face_13,object_09,non-target,face,center,face_14,1.5,1.78333333333333,0.232,0.232,onset,1000,84,2420.13128842965,NaN,0,cr,2,2420.3633937,1000,1,2422.7592605,1000,0,2421.63124432965,2422.13124067224,2423.9064523,NaN,NaN,0,NaN,2.39586680000002
SX102,prp,0,1,17,face_13,object_09,target,face,left,face_13,1.5,0.95,0.116,1.616,offset,1000,103,2423.91452282471,2424.6803399,1,hit,2,2425.5307021,1000,1,2426.0509898,1,1000,2425.41449531977,2425.91448502471,2426.8561966,NaN,NaN,0,0.765817075291579,0.520287700000154
SX102,prp,0,1,18,face_13,object_09,non-target,object,center,object_11,0.5,0.883333333333333,0.466,0.966,offset,1100,201,2426.86442426801,NaN,0,cr,1,2427.8306313,1100,1,2428.3590055,1100,0,2427.36444082471,2428.86440222471,2429.739526,NaN,NaN,0,NaN,0.528374200000144
SX102,prp,0,1,19,face_13,object_09,non-target,object,center,object_10,1.5,1.7,0.466,1.966,offset,1000,200,2429.747721792,NaN,0,cr,2,2431.7138946,1000,1,2432.1072934,1000,0,2431.24767788706,2431.74767592471,2433.4394664,NaN,NaN,0,NaN,0.393398799999886
SX102,prp,0,1,20,face_13,object_09,irrelevant,letter,left,letter_03,1,1.31666666666667,0.232,0.232,onset,1100,33,2433.44763207718,NaN,0,cr,1,2433.6797408,1100,1,2434.6093678,1100,0,2434.44761197224,2435.44757544447,2436.7559896,NaN,NaN,0,NaN,0.929626999999982
