sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX103,auditory_and_visual,1,0,1,practice_03,practice_10,target,false_font,center,practice_03,1,0.85,0.116,1.116,offset,1000,253,1651.11635233875,1652.0797529,1,empty,2,1652.2324661,NaN,NaN,1652.8550105,1,1100,1652.11630248388,1653.11627122259,1653.9580381,NaN,NaN,1640.99989915808
SX103,auditory_and_visual,1,0,2,practice_03,practice_10,non-target,false_font,center,false_font_01,1.5,0.783333333333333,0.232,0.232,onset,1100,131,1653.96625327743,NaN,0,,1,1654.1983243,NaN,NaN,1655.9674507,1100,0,1655.46621129679,1655.96619476131,1656.7412826,NaN,NaN,0
SX103,auditory_and_visual,1,0,3,practice_03,practice_10,non-target,letter,left,letter_10,1,0.933333333333333,0.116,1.116,offset,1100,40,1656.74951204195,NaN,0,,1,1657.8658554,NaN,NaN,1658.9681584,1100,0,1657.74949100324,1658.74947360324,1659.6745542,NaN,NaN,0
SX103,auditory_and_visual,1,0,4,practice_03,practice_10,non-target,false_font,right,false_font_02,0.5,0.733333333333333,0,0,onset,1000,172,1659.68277389679,NaN,0,,2,1659.6838686,NaN,NaN,1660.5601581,1000,0,1660.18276402259,1661.68273343227,1662.4079218,NaN,NaN,0
SX103,auditory_and_visual,1,0,5,practice_03,practice_10,irrelevant,face,center,face_19,1.5,0.833333333333333,0.466,1.966,offset,1000,89,1662.41604198711,NaN,0,,2,1664.3824657,NaN,NaN,1665.0476777,1000,0,1663.91601090647,1664.41599185163,1665.2412616,NaN,NaN,0
SX103,auditory_and_visual,1,0,6,practice_03,practice_10,irrelevant,object,center,object_17,0.5,1,0.116,0.116,onset,1100,207,1665.24931578711,NaN,0,,1,1665.3653574,NaN,NaN,1665.957722,1100,0,1665.74934253227,1667.24926060647,1668.2411901,NaN,NaN,0
SX103,auditory_and_visual,1,0,7,practice_03,practice_10,irrelevant,object,center,object_02,0.5,0.8,0,0,onset,1000,192,1668.24931298388,NaN,0,,2,1668.2502401,NaN,NaN,1669.1101953,1000,0,1668.74921829679,1670.24919164195,1671.0410142,NaN,NaN,0
SX103,auditory_and_visual,1,0,8,practice_03,practice_10,non-target,false_font,center,false_font_05,1,0.8,0.466,0.466,onset,1100,135,1671.04917853227,NaN,0,,1,1671.5153685,NaN,NaN,1672.2867193,1100,0,1672.04920848388,1673.04912993227,1673.8408963,NaN,NaN,0
SX103,auditory_and_visual,1,0,9,practice_03,practice_10,target,false_font,left,practice_03,1,0.933333333333333,0.232,1.232,offset,1100,265,1673.84917363227,1674.5816896,1,,1,1675.0814463,NaN,NaN,1675.5719496,1,1100,1674.84908429356,1675.84905899679,1676.7741926,NaN,NaN,0
SX103,auditory_and_visual,1,0,10,practice_03,practice_10,irrelevant,object,center,object_01,0.5,1.26666666666667,0.466,0.466,onset,1000,191,1676.78237308711,NaN,0,,2,1677.2485132,NaN,NaN,1678.2892785,1000,0,1677.28236014195,1678.78236989679,1680.0408982,NaN,NaN,0
SX103,auditory_and_visual,1,0,11,practice_03,practice_10,non-target,letter,left,letter_03,1.5,0.916666666666667,0,1.5,offset,1000,33,1680.04894917743,NaN,0,,2,1681.5500378,NaN,NaN,NaN,0,0,1681.5489132226,1682.04890186776,1682.9573109,NaN,NaN,0
SX103,auditory_and_visual,1,0,12,practice_03,practice_10,irrelevant,object,left,object_19,1,1.2,0.232,1.232,offset,1000,229,1682.96555604195,NaN,0,,2,1684.1977306,NaN,NaN,1685.4878934,1000,0,1683.96553197743,1684.96551532259,1686.1574305,NaN,NaN,0
