sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp
SX103,auditory,1,-2,1,practice_05,practice_08,non-target,false_font,center,false_font_13,1.5,0.783333333333333,0.466,0.466,onset,1000,143,1330.95734335163,NaN,0,empty,2,1331.4249321,NaN,NaN,NaN,0,0,1332.45730534195,1332.95729404195,1333.7325333,NaN,NaN
SX103,auditory,1,-2,2,practice_05,practice_08,target,letter,right,practice_08,1,0.866666666666667,0.466,0.466,onset,1100,282,1333.74061943227,NaN,0,,1,1334.207084,NaN,NaN,NaN,0,0,1334.74058190647,1335.74056008711,1336.5991683,NaN,NaN
SX103,auditory,1,-2,3,practice_05,practice_08,irrelevant,face,left,face_08,1,1.71666666666667,0.232,1.232,offset,1100,98,1336.60722082259,NaN,0,,1,1337.839578,NaN,NaN,1336.7642762,1100,0,1337.60719413227,1338.60716273227,1340.3157812,NaN,NaN
SX103,auditory,1,-2,4,practice_05,practice_08,irrelevant,object,center,object_01,0.5,1.26666666666667,0.466,0.466,onset,1000,191,1340.32379434195,NaN,0,,2,1340.7901728,NaN,NaN,1341.3129904,1000,0,1340.82377948711,1342.32373369679,1343.5823352,NaN,NaN
SX103,auditory,1,-2,5,practice_05,practice_08,irrelevant,object,center,object_02,0.5,0.8,0,0,onset,1000,192,1343.60704384195,NaN,0,,2,1343.6120206,NaN,NaN,1344.2780255,1000,0,1344.10702524195,1345.60699164195,1346.3990421,NaN,NaN
SX103,auditory,1,-2,6,practice_05,practice_08,target,false_font,right,practice_05,1,1.2,0.466,0.466,onset,1100,279,1346.40698403227,NaN,0,,1,1346.8734674,NaN,NaN,1347.444211,1100,0,1347.40694614195,1348.40693337743,1349.5986864,NaN,NaN
SX103,auditory,1,-2,7,practice_05,practice_08,non-target,false_font,left,false_font_13,0.5,1.71666666666667,0.232,0.732,offset,1000,163,1349.60690533227,NaN,0,,2,1350.3391299,NaN,NaN,1350.9810248,1000,0,1350.10688954195,1351.60685349679,1353.3154307,NaN,NaN
SX103,auditory,1,-2,8,practice_05,practice_08,non-target,letter,left,letter_03,0.5,0.75,0.116,0.616,offset,1000,33,1353.32347858711,NaN,0,,2,1353.9399003,NaN,NaN,1354.7763613,1000,0,1353.82349069679,1355.32350419679,1356.0651821,NaN,NaN
SX103,auditory,1,-2,9,practice_05,practice_08,irrelevant,face,center,face_10,1.5,0.8,0.232,1.732,offset,1100,80,1356.07341495163,NaN,0,,1,1357.8055605,NaN,NaN,1358.3872183,1100,0,1357.57337337743,1358.07335624195,1358.8651948,NaN,NaN
SX103,auditory,1,-2,10,practice_05,practice_08,target,letter,center,practice_08,0.5,0.9,0.116,0.116,onset,1000,258,1358.87333379679,NaN,0,,2,1358.9894731,NaN,NaN,1360.2455213,1000,0,1359.37332494195,1360.87330788711,1361.7650598,NaN,NaN
SX103,auditory,1,-2,11,practice_05,practice_08,irrelevant,object,center,object_11,0.5,1.26666666666667,0,0.5,offset,1000,201,1361.77332908711,NaN,0,,2,1362.2744084,NaN,NaN,1363.0009768,1000,0,1362.27326194195,1363.77323362259,1365.0317087,NaN,NaN
SX103,auditory,1,-2,12,practice_05,practice_08,irrelevant,face,left,face_18,1,0.733333333333333,0.232,0.232,onset,1100,108,1365.03990500647,NaN,0,,1,1365.2722528,NaN,NaN,1367.5603985,1100,0,1366.03983093227,1367.03981163227,1367.7650638,NaN,NaN
SX103,auditory,1,-2,13,practice_05,practice_08,target,false_font,center,practice_05,1,0.85,0.116,1.116,offset,1000,255,1367.77314144195,NaN,0,,2,1368.8893621,NaN,NaN,NaN,0,0,1368.77311112904,1369.7730853484,1370.6149128,NaN,NaN
SX103,auditory,1,-2,14,practice_05,practice_08,non-target,letter,center,letter_01,1,0.933333333333333,0,0,onset,1100,11,1370.62306244195,NaN,0,,1,1370.6247022,NaN,NaN,1370.8412686,1000,1100,1371.62303144195,1372.62302828711,1373.5481176,NaN,NaN
SX103,auditory,1,-2,15,practice_05,practice_08,non-target,letter,center,letter_11,1.5,0.733333333333333,0.116,0.116,onset,1100,21,1373.55633066776,NaN,0,,1,1373.6727198,NaN,NaN,1374.4720206,1100,0,1375.05627885163,1375.55627398711,1376.2814604,NaN,NaN
SX103,auditory,1,-2,16,practice_05,practice_08,non-target,letter,left,letter_10,1,0.933333333333333,0.116,1.116,offset,1100,40,1376.28959429679,NaN,0,,1,1377.4058529,NaN,NaN,1378.1879819,1100,0,1377.28956315163,1378.28954983872,1379.2148122,NaN,NaN
SX103,auditory,1,-2,17,practice_05,practice_08,non-target,false_font,right,false_font_12,1,0.733333333333333,0.232,0.232,onset,1000,182,1379.22290562259,NaN,0,,2,1379.4549536,NaN,NaN,1380.0412336,1000,0,1380.22283426776,1381.22280289679,1381.9480664,NaN,NaN
SX103,auditory,1,-2,18,practice_05,practice_08,target,false_font,left,practice_05,1,0.933333333333333,0.232,1.232,offset,1100,267,1381.95612294195,NaN,0,,1,1383.1882094,NaN,NaN,1383.9704413,1100,0,1382.95609515808,1383.95607219356,1384.8812158,NaN,NaN
SX103,auditory,1,-2,19,practice_05,practice_08,non-target,false_font,right,false_font_01,0.5,1.3,0.232,0.232,onset,1000,171,1384.88938374195,NaN,0,,2,1385.1214422,NaN,NaN,1385.7519856,1000,0,1385.38937078711,1386.88933489679,1388.1812151,NaN,NaN
SX103,auditory,1,-2,20,practice_05,practice_08,non-target,letter,right,letter_13,0.5,0.8,0.116,0.616,offset,1000,63,1388.18930475163,NaN,0,,2,1388.8054654,NaN,NaN,1390.9804586,1000,0,1388.68930039679,1390.18925738711,1390.9814851,NaN,NaN
SX103,auditory,1,-2,21,practice_05,practice_08,irrelevant,face,center,face_02,1,0.733333333333333,0.116,0.116,onset,1100,72,1390.98923664195,NaN,0,,1,1391.1052867,NaN,NaN,1391.6764313,1100,0,1391.98921439356,1392.98918980324,1393.7144367,NaN,NaN
