sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX103,visual,1,-1,1,practice_01,practice_07,target,false_font,right,practice_01,1,1.2,0.466,0.466,onset,1100,275,1491.67013394195,NaN,0,empty,NaN,NaN,NaN,NaN,NaN,0,0,1492.67010855163,1493.67013844195,1494.8619392,NaN,NaN,1478.5537850484
SX103,visual,1,-1,2,practice_01,practice_07,non-target,letter,right,letter_13,0.5,0.8,0.116,0.616,offset,1000,63,1494.87004720647,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1495.37003759679,1496.86999859679,1497.6618907,NaN,NaN,0
SX103,visual,1,-1,3,practice_01,practice_07,irrelevant,object,center,object_01,0.5,1.26666666666667,0.466,0.466,onset,1000,191,1497.66998262259,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1498.16997633227,1499.66998544195,1500.9283652,NaN,NaN,0
SX103,visual,1,-1,4,practice_01,practice_07,non-target,false_font,left,false_font_13,0.5,1.71666666666667,0.232,0.732,offset,1000,163,1500.93656809679,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1501.43656434195,1502.93651826131,1504.6450927,NaN,NaN,0
SX103,visual,1,-1,5,practice_01,practice_07,non-target,letter,left,letter_03,0.5,0.75,0.116,0.616,offset,1000,33,1504.66982497743,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1505.16981079679,1506.66976525163,1507.4116228,NaN,NaN,0
SX103,visual,1,-1,6,practice_01,practice_07,non-target,false_font,center,false_font_13,1.5,0.783333333333333,0.466,0.466,onset,1000,143,1507.41975208711,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1508.91973830647,1509.41970344195,1510.1949674,NaN,NaN,0
SX103,visual,1,-1,7,practice_01,practice_07,non-target,false_font,right,false_font_01,0.5,1.3,0.232,0.232,onset,1000,171,1510.20302288711,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1510.70299709679,1512.20297304195,1513.4948444,NaN,NaN,0
SX103,visual,1,-1,8,practice_01,practice_07,target,letter,right,practice_07,1,0.866666666666667,0.466,0.466,onset,1100,281,1513.50293994195,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1514.50292049356,1515.50288790324,1516.3613534,NaN,NaN,0
SX103,visual,1,-1,9,practice_01,practice_07,irrelevant,object,center,object_03,1.5,1.3,0,1.5,offset,1100,193,1516.36953464195,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1517.86949174195,1518.36948954195,1519.661339,NaN,NaN,0
SX103,visual,1,-1,10,practice_01,practice_07,irrelevant,object,center,object_14,1.5,0.783333333333333,0.116,1.616,offset,1100,204,1519.66946124195,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1521.16942881292,1521.66940124195,1522.4446829,NaN,NaN,0
SX103,visual,1,-1,11,practice_01,practice_07,target,letter,right,practice_07,1.5,0.733333333333333,0.466,1.966,offset,1100,281,1522.45272629679,1523.320395,1,,NaN,NaN,NaN,NaN,NaN,1,0,1523.95268429679,1524.45266574195,1525.1779044,NaN,NaN,0
SX103,visual,1,-1,12,practice_01,practice_07,non-target,letter,center,letter_11,1.5,0.733333333333333,0.116,0.116,onset,1100,21,1525.18598975163,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1526.68594603227,1527.18594448711,1527.9111106,NaN,NaN,0
SX103,visual,1,-1,13,practice_01,practice_07,non-target,false_font,center,false_font_05,1,0.8,0.466,0.466,onset,1100,135,1527.91926018711,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,1528.91923744195,1529.91920879679,1530.7111093,NaN,NaN,0
