sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX104,auditory_and_visual,1,0,1,practice_05,practice_11,irrelevant,face,left,face_08,1.5,0.733333333333333,0,0,onset,1100,98,12472.9565164353,NaN,0,empty,1,12472.9575732,NaN,NaN,12474.1658618,1100,0,12474.4564218353,12474.9564117834,12475.6817193,NaN,NaN,12461.1234549236
SX104,auditory_and_visual,1,0,2,practice_05,practice_11,irrelevant,face,left,face_18,1,0.733333333333333,0.232,0.232,onset,1100,108,12475.6897291275,NaN,0,,1,12475.9218237,NaN,NaN,12476.3851365,1100,0,12476.6897317834,12477.6896842637,12478.4148253,NaN,NaN,0
SX104,auditory_and_visual,1,0,3,practice_05,practice_11,non-target,false_font,left,false_font_06,1.5,0.8,0.116,1.616,offset,1000,156,12478.4230690353,NaN,0,,2,12480.0392187,NaN,NaN,12480.8120293,1000,0,12479.9229604834,12480.4229439873,12481.2149366,NaN,NaN,0
SX104,auditory_and_visual,1,0,4,practice_05,practice_11,target,letter,right,practice_11,1,0.866666666666667,0.466,0.466,onset,1100,285,12481.2229344314,12482.1980881,1,,1,12481.6890727,NaN,NaN,12483.4168649,1,1100,12482.2228969353,12483.2229060912,12484.0813487,NaN,NaN,0
SX104,auditory_and_visual,1,0,5,practice_05,practice_11,non-target,letter,center,letter_01,1,0.933333333333333,0,0,onset,1100,11,12484.0895273794,NaN,0,,1,12484.0922255,NaN,NaN,12484.9865914,1100,0,12485.0895585755,12486.0894798873,12487.0146139,NaN,NaN,0
SX104,auditory_and_visual,1,0,6,practice_05,practice_11,non-target,letter,left,letter_10,1,0.933333333333333,0.116,1.116,offset,1100,40,12487.0227973873,NaN,0,,1,12488.1390047,NaN,NaN,12488.8316708,1100,0,12488.0227663677,12489.0227347794,12489.9478114,NaN,NaN,0
SX104,auditory_and_visual,1,0,7,practice_05,practice_11,target,false_font,center,practice_05,1,0.85,0.116,1.116,offset,1000,255,12489.9560493912,12490.7850452,1,,2,12491.0723151,NaN,NaN,12491.6685424,1,1000,12490.9560682951,12491.9560022794,12492.7977311,NaN,NaN,0
SX104,auditory_and_visual,1,0,8,practice_05,practice_11,irrelevant,object,center,object_14,1.5,0.783333333333333,0.116,1.616,offset,1100,204,12492.8059804353,NaN,0,,1,12494.422152,NaN,NaN,12494.9615913,1100,0,12494.3059450873,12494.8059343873,12495.5811609,NaN,NaN,0
SX104,auditory_and_visual,1,0,9,practice_05,practice_11,non-target,false_font,right,false_font_02,0.5,0.733333333333333,0,0,onset,1000,172,12495.5892505873,NaN,0,,2,12495.5902423,NaN,NaN,12496.400771,1000,0,12496.0892392353,12497.5892665393,12498.3144577,NaN,NaN,0
SX104,auditory_and_visual,1,0,10,practice_05,practice_11,non-target,false_font,right,false_font_07,1.5,0.966666666666667,0.232,1.732,offset,1100,177,12498.3225166393,NaN,0,,1,12500.054666,NaN,NaN,12500.5729737,1100,0,12499.8224707353,12500.3224705873,12501.2809923,NaN,NaN,0
SX104,auditory_and_visual,1,0,11,practice_05,practice_11,non-target,false_font,right,false_font_12,1,0.733333333333333,0.232,0.232,onset,1000,182,12501.2891085314,NaN,0,,2,12501.5213498,NaN,NaN,12502.0289051,1000,0,12502.2890912677,12503.2891133157,12504.0143031,NaN,NaN,0
SX104,auditory_and_visual,1,0,12,practice_05,practice_11,irrelevant,face,center,face_10,1.5,0.8,0.232,1.732,offset,1100,80,12504.0223737834,NaN,0,,1,12505.7544435,NaN,NaN,12506.2628865,1100,0,12505.5223385393,12506.0223827314,12506.8142125,NaN,NaN,0
SX104,auditory_and_visual,1,0,13,practice_05,practice_11,irrelevant,object,right,object_18,1.5,0.966666666666667,0,1.5,offset,1000,248,12506.822302003,NaN,0,,2,12508.3233639,NaN,NaN,12508.777501,1000,0,12508.3222754834,12508.8222602432,12509.7807884,NaN,NaN,0
SX104,auditory_and_visual,1,0,14,practice_05,practice_11,irrelevant,object,center,object_01,0.5,1.26666666666667,0.466,0.466,onset,1000,191,12509.7889045794,NaN,0,,2,12510.2551509,NaN,NaN,12511.134114,1000,0,12510.2888943873,12511.7888600353,12513.0474497,NaN,NaN,0
SX104,auditory_and_visual,1,0,15,practice_05,practice_11,non-target,letter,right,letter_13,0.5,0.8,0.116,0.616,offset,1000,63,12513.0554882794,NaN,0,,2,12513.6717138,NaN,NaN,12514.2695405,1000,0,12513.5554837873,12515.0554453834,12515.8471784,NaN,NaN,0
SX104,auditory_and_visual,1,0,16,practice_05,practice_11,irrelevant,face,center,face_10,1.5,0.833333333333333,0.466,0.466,onset,1100,80,12515.8554233353,NaN,0,,1,12516.3216705,NaN,NaN,12516.7815432,1100,0,12517.3554336873,12517.8553791353,12518.6805832,NaN,NaN,0
SX104,auditory_and_visual,1,0,17,practice_05,practice_11,irrelevant,object,center,object_11,0.5,1.26666666666667,0,0.5,offset,1000,201,12518.6886947314,NaN,0,,2,12519.18998,NaN,NaN,12519.7144992,1000,0,12519.1887276353,12520.6886323432,12521.9471478,NaN,NaN,0
SX104,auditory_and_visual,1,0,18,practice_05,practice_11,irrelevant,object,left,object_19,1,1.2,0.232,1.232,offset,1000,229,12521.9552826314,NaN,0,,2,12523.1874348,NaN,NaN,12523.7659198,1000,0,12522.9552545471,12523.9552764393,12525.1470183,NaN,NaN,0
SX104,auditory_and_visual,1,0,19,practice_05,practice_11,target,false_font,right,practice_05,1,1.2,0.466,0.466,onset,1100,279,12525.1551952873,12525.9644988,1,,1,12525.6214296,NaN,NaN,12526.6935238,1,1100,12526.1551751677,12527.1551604716,12528.3468719,NaN,NaN,0
SX104,auditory_and_visual,1,0,20,practice_05,practice_11,irrelevant,object,center,object_03,1.5,1.3,0,1.5,offset,1100,193,12528.3551819834,NaN,0,,1,12529.8563675,NaN,NaN,12530.465495,1100,0,12529.8550796393,12530.3550681393,12531.6470937,NaN,NaN,0
SX104,auditory_and_visual,1,0,21,practice_05,practice_11,non-target,letter,left,letter_03,0.5,0.75,0.116,0.616,offset,1000,33,12531.6550378393,NaN,0,,2,12532.2713157,NaN,NaN,12532.9070025,1000,0,12532.1550341794,12533.6549986314,12534.3969417,NaN,NaN,0
SX104,auditory_and_visual,1,0,22,practice_05,practice_11,non-target,letter,left,letter_03,1.5,0.916666666666667,0,1.5,offset,1000,33,12534.4049790912,NaN,0,,2,12535.9061023,NaN,NaN,12536.3900406,1000,0,12535.9049374834,12536.4049324314,12537.3135328,NaN,NaN,0
SX104,auditory_and_visual,1,0,23,practice_05,practice_11,irrelevant,object,center,object_05,1.5,0.9,0.232,0.232,onset,1100,195,12537.3215654873,NaN,0,,1,12537.5537004,NaN,NaN,12538.5077818,1100,0,12538.8215280873,12539.3215254912,12540.2133892,NaN,NaN,0
SX104,auditory_and_visual,1,0,24,practice_05,practice_11,non-target,false_font,center,false_font_05,1,0.8,0.466,0.466,onset,1100,135,12540.2215082314,NaN,0,,1,12540.68771,NaN,NaN,12541.2670702,1100,0,12541.2214848834,12542.2214651196,12543.0132414,NaN,NaN,0
SX104,auditory_and_visual,1,0,25,practice_05,practice_11,non-target,letter,center,letter_11,1.5,0.733333333333333,0.116,0.116,onset,1100,21,12543.0214356873,NaN,0,,1,12543.1376891,NaN,NaN,12544.0724749,1000,0,12544.5214040393,12545.0214400834,12545.7465365,NaN,NaN,0
