sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp
SX104,auditory,1,-2,1,practice_03,practice_10,non-target,false_font,left,false_font_13,0.5,1.71666666666667,0.232,0.732,offset,1000,163,12032.5670576353,NaN,0,empty,2,12033.3005463,NaN,NaN,NaN,0,0,12033.0670458834,12034.5670064314,12036.2756217,NaN,NaN
SX104,auditory,1,-2,2,practice_03,practice_10,irrelevant,object,center,object_03,1.5,1.3,0,1.5,offset,1100,193,12036.2836320912,NaN,0,,1,12037.7853929,NaN,NaN,12037.3240312,1000,1100,12037.7835974951,12038.2836410353,12039.575338,NaN,NaN
SX104,auditory,1,-2,3,practice_03,practice_10,irrelevant,face,center,face_19,1.5,0.833333333333333,0.466,1.966,offset,1000,89,12039.5835553794,NaN,0,,2,12041.549796,NaN,NaN,12042.3115319,1000,0,12041.0835633873,12041.5835090912,12042.408693,NaN,NaN
SX104,auditory,1,-2,4,practice_03,practice_10,non-target,letter,left,letter_03,0.5,0.75,0.116,0.616,offset,1000,33,12042.416870255,NaN,0,,2,12043.0332659,NaN,NaN,12044.4850054,1000,0,12042.9168106393,12044.4167770314,12045.1588061,NaN,NaN
SX104,auditory,1,-2,5,practice_03,practice_10,irrelevant,face,center,face_02,1,0.733333333333333,0.116,0.116,onset,1100,72,12045.1667655236,NaN,0,,1,12045.2842663,NaN,NaN,12045.9460391,1100,0,12046.1667286393,12047.1667082275,12047.8918663,NaN,NaN
SX104,auditory,1,-2,6,practice_03,practice_10,irrelevant,face,left,face_08,1,1.71666666666667,0.232,1.232,offset,1100,98,12047.9000305353,NaN,0,,1,12049.1321789,NaN,NaN,12049.7499767,1100,0,12048.9000002873,12049.8999772236,12051.6084745,NaN,NaN
SX104,auditory,1,-2,7,practice_03,practice_10,irrelevant,object,center,object_17,0.5,1,0.116,0.116,onset,1100,207,12051.6165987314,NaN,0,,1,12051.7330243,NaN,NaN,12052.2110098,1100,0,12052.1165945834,12053.6165531912,12054.6084066,NaN,NaN
SX104,auditory,1,-2,8,practice_03,practice_10,irrelevant,object,center,object_11,0.5,1.26666666666667,0,0.5,offset,1000,201,12054.6165349716,NaN,0,,2,12055.1178781,NaN,NaN,12055.6844867,1000,0,12055.1165221353,12056.6164823912,12057.874938,NaN,NaN
SX104,auditory,1,-2,9,practice_03,practice_10,non-target,false_font,right,false_font_12,1,0.733333333333333,0.232,0.232,onset,1000,182,12057.8831209353,NaN,0,,2,12058.1154795,NaN,NaN,12058.6194654,1000,0,12058.8830906314,12059.8830677912,12060.6081787,NaN,NaN
SX104,auditory,1,-2,10,practice_03,practice_10,non-target,false_font,center,false_font_05,1,0.8,0.466,0.466,onset,1100,135,12060.6163771873,NaN,0,,1,12061.0826938,NaN,NaN,12061.5301598,1100,0,12061.6163666157,12062.6163345236,12063.4081796,NaN,NaN
