sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX104,visual,1,-1,1,practice_03,practice_08,non-target,false_font,right,false_font_07,1.5,0.966666666666667,0.232,1.732,offset,1100,177,12180.3135535314,NaN,0,empty,NaN,NaN,NaN,NaN,NaN,0,0,12181.8134599314,12182.3134591794,12183.2720032,NaN,NaN,12172.2470228353
SX104,visual,1,-1,2,practice_03,practice_08,non-target,false_font,center,false_font_01,1.5,0.783333333333333,0.232,0.232,onset,1100,131,12183.2801465834,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12184.7801169236,12185.2800555716,12186.0552805,NaN,NaN,0
SX104,visual,1,-1,3,practice_03,practice_08,non-target,false_font,center,false_font_05,1,0.8,0.466,0.466,onset,1100,135,12186.0633647755,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12187.0633837716,12188.0633245598,12188.8551488,NaN,NaN,0
SX104,visual,1,-1,4,practice_03,practice_08,non-target,letter,center,letter_11,1.5,0.733333333333333,0.116,0.116,onset,1100,21,12188.8632941314,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12190.3632611873,12190.8632914393,12191.5884113,NaN,NaN,0
SX104,visual,1,-1,5,practice_03,practice_08,non-target,false_font,center,false_font_13,1.5,0.783333333333333,0.466,0.466,onset,1000,143,12191.6132214834,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12193.1131862873,12193.6131844873,12194.38837,NaN,NaN,0
SX104,visual,1,-1,6,practice_03,practice_08,non-target,false_font,right,false_font_12,1,0.733333333333333,0.232,0.232,onset,1000,182,12194.3964869393,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12195.3964740716,12196.3964406353,12197.1217073,NaN,NaN,0
SX104,visual,1,-1,7,practice_03,practice_08,non-target,letter,center,letter_17,0.5,0.8,0,0.5,offset,1100,27,12197.1297592353,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12197.6297946393,12199.1297646834,12199.921672,NaN,NaN,0
SX104,visual,1,-1,8,practice_03,practice_08,irrelevant,object,center,object_02,0.5,0.8,0,0,onset,1000,192,12199.9297519794,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12200.4297330834,12201.9296416873,12202.7215289,NaN,NaN,0
SX104,visual,1,-1,9,practice_03,practice_08,non-target,letter,left,letter_03,1.5,0.916666666666667,0,1.5,offset,1000,33,12202.7296276353,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12204.2295881353,12204.7295706834,12205.6380186,NaN,NaN,0
SX104,visual,1,-1,10,practice_03,practice_08,non-target,false_font,right,false_font_01,0.5,1.3,0.232,0.232,onset,1000,171,12205.6462251314,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12206.1462107873,12207.6461662873,12208.9380557,NaN,NaN,0
SX104,visual,1,-1,11,practice_03,practice_08,irrelevant,face,center,face_10,1.5,0.8,0.232,1.732,offset,1100,80,12208.9461460314,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12210.4461028834,12210.9460884834,12211.7379987,NaN,NaN,0
