sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX104,visual,1,-1,1,practice_03,practice_08,non-target,false_font,right,false_font_07,1.5,0.966666666666667,0.232,1.732,offset,1100,177,12325.4100100432,NaN,0,empty,NaN,NaN,NaN,NaN,NaN,0,0,12326.9099747314,12327.4099600432,12328.3684249,NaN,NaN,12317.3935318834
SX104,visual,1,-1,2,practice_03,practice_08,non-target,false_font,center,false_font_01,1.5,0.783333333333333,0.232,0.232,onset,1100,131,12328.3766388353,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12329.8765684873,12330.3765642314,12331.1517602,NaN,NaN,0
SX104,visual,1,-1,3,practice_03,practice_08,non-target,false_font,center,false_font_05,1,0.8,0.466,0.466,onset,1100,135,12331.1598704755,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12332.1598566637,12333.1598216716,12333.9516422,NaN,NaN,0
SX104,visual,1,-1,4,practice_03,practice_08,non-target,letter,center,letter_11,1.5,0.733333333333333,0.116,0.116,onset,1100,21,12333.9598202755,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12335.4597692794,12335.9597610314,12336.6850463,NaN,NaN,0
SX104,visual,1,-1,5,practice_03,practice_08,non-target,false_font,center,false_font_13,1.5,0.783333333333333,0.466,0.466,onset,1000,143,12336.6931242873,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12338.1930366314,12338.6930142991,12339.4683066,NaN,NaN,0
SX104,visual,1,-1,6,practice_03,practice_08,non-target,false_font,right,false_font_12,1,0.733333333333333,0.232,0.232,onset,1000,182,12339.4763322873,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12340.4763144157,12341.4762954118,12342.2015391,NaN,NaN,0
SX104,visual,1,-1,7,practice_03,practice_08,non-target,letter,center,letter_17,0.5,0.8,0,0.5,offset,1100,27,12342.2096106314,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12342.7095979794,12344.2095664873,12345.0014301,NaN,NaN,0
SX104,visual,1,-1,8,practice_03,practice_08,irrelevant,object,center,object_02,0.5,0.8,0,0,onset,1000,192,12345.0095322834,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12345.5095271873,12347.0094896353,12347.8012622,NaN,NaN,0
SX104,visual,1,-1,9,practice_03,practice_08,non-target,letter,left,letter_03,1.5,0.916666666666667,0,1.5,offset,1000,33,12347.8094686794,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12349.3094283834,12349.8094133912,12350.717903,NaN,NaN,0
SX104,visual,1,-1,10,practice_03,practice_08,non-target,false_font,right,false_font_01,0.5,1.3,0.232,0.232,onset,1000,171,12350.7260696834,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,12351.2260599873,12352.7260188393,12354.0177733,NaN,NaN,0
