sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX104,prp,0,3,1,letter_03,false_font_04,irrelevant,object,right,object_09,1.5,0.916666666666667,0.232,1.732,offset,1100,239,12885.8465339951,NaN,0,empty,1,12887.5786526,NaN,NaN,12888.2485609,1100,0,12887.3464828393,12887.8464848314,12888.7550055,NaN,NaN,12876.9467465314
SX104,prp,0,3,2,letter_03,false_font_04,non-target,false_font,center,false_font_16,1,0.783333333333333,0,0,onset,1100,146,12888.7631189873,NaN,0,,1,12888.7641432,NaN,NaN,12889.8563981,1100,0,12889.7631740637,12890.7630848637,12891.5381757,NaN,NaN,0
SX104,prp,0,3,3,letter_03,false_font_04,irrelevant,face,center,face_02,0.5,1.45,0,0,onset,1100,72,12891.5463820951,NaN,0,,1,12891.5474324,NaN,NaN,12892.3056558,1100,0,12892.0463833393,12893.5463352353,12894.9881284,NaN,NaN,0
SX104,prp,0,3,4,letter_03,false_font_04,non-target,false_font,right,false_font_10,1,1.9,0.232,1.232,offset,1000,180,12894.9963030834,NaN,0,,2,12896.2285319,NaN,NaN,12896.7418862,1000,0,12895.9963309834,12896.9962612118,12898.8881722,NaN,NaN,0
SX104,prp,0,3,5,letter_03,false_font_04,non-target,false_font,center,false_font_10,0.5,1.5,0.232,0.232,onset,1000,140,12898.8962201314,NaN,0,,2,12899.1282966,NaN,NaN,12899.9834208,1000,0,12899.3961963873,12900.8961594353,12902.3880278,NaN,NaN,0
SX104,prp,0,3,6,letter_03,false_font_04,non-target,false_font,left,false_font_12,0.5,1.01666666666667,0.466,0.466,onset,1100,162,12902.3961384794,NaN,0,,1,12902.8623728,NaN,NaN,12903.3037057,1100,0,12902.8961220794,12904.3960819794,12905.4045845,NaN,NaN,0
SX104,prp,0,3,7,letter_03,false_font_04,irrelevant,face,center,face_09,0.5,0.95,0.116,0.116,onset,1000,79,12905.4127779677,NaN,0,,2,12905.5291477,NaN,NaN,12906.4655795,1000,0,12905.9127115873,12907.4126799834,12908.3546241,NaN,NaN,0
SX104,prp,0,3,8,letter_03,false_font_04,non-target,letter,left,letter_09,1,1.01666666666667,0.116,0.116,onset,1000,39,12908.3627031353,NaN,0,,2,12908.4789075,NaN,NaN,12909.0701664,1000,0,12909.3626783834,12910.3626013912,12911.3710926,NaN,NaN,0
SX104,prp,0,3,9,letter_03,false_font_04,target,letter,center,letter_03,1.5,1.16666666666667,0,0,onset,1100,13,12911.3792586716,12911.9756633,1,,1,12911.3801282,NaN,NaN,12912.3901679,1,1100,12912.8792137353,12913.3791920353,12914.5376044,NaN,NaN,0
SX104,prp,0,3,10,letter_03,false_font_04,irrelevant,face,center,face_07,0.5,0.966666666666667,0.466,0.966,offset,1100,77,12914.5458435834,NaN,0,,1,12915.5120898,NaN,NaN,12915.9412162,1100,0,12915.0458200353,12916.5457945794,12917.5043714,NaN,NaN,0
