sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset
SX104,prp,0,4,1,letter_20,false_font_05,irrelevant,object,center,object_15,0.5,1.25,0,0.5,offset,1000,205,13580.9297912136,NaN,0,empty,2,13581.4344488,NaN,NaN,13582.314507,1100,0,13581.4297526978,13582.9296934685,13584.1717194,NaN,NaN,13572.6299205467
SX104,prp,0,4,2,letter_20,false_font_05,non-target,letter,center,letter_11,0.5,0.866666666666667,0.116,0.616,offset,1100,21,13584.1796609234,NaN,0,,1,13584.7960471,NaN,NaN,13585.9615354,1000,0,13584.6796413429,13586.1796103332,13587.0380945,NaN,NaN,0
SX104,prp,0,4,3,letter_20,false_font_05,non-target,false_font,center,false_font_10,0.5,1.3,0.466,0.466,onset,1100,140,13587.0462466587,NaN,0,,1,13587.512689,NaN,NaN,13588.2960498,1100,0,13587.5462380783,13589.046205188,13590.3379585,NaN,NaN,0
SX104,prp,0,4,4,letter_20,false_font_05,irrelevant,face,center,face_04,1,1.21666666666667,0.232,1.232,offset,1100,74,13590.3461761685,NaN,0,,1,13591.5786285,NaN,NaN,13592.1918477,1100,0,13591.3461441685,13592.346120888,13593.554608,NaN,NaN,0
SX104,prp,0,4,5,letter_20,false_font_05,non-target,letter,left,letter_13,1,1.05,0.232,0.232,onset,1000,43,13593.5794249783,NaN,0,,2,13593.8125306,NaN,NaN,13594.4294704,1000,0,13594.5793969783,13595.5793759391,13596.621302,NaN,NaN,0
SX104,prp,0,4,6,letter_20,false_font_05,non-target,false_font,center,false_font_11,1.5,0.95,0.232,1.732,offset,1100,141,13596.6293592332,NaN,0,,1,13598.3617682,NaN,NaN,13599.0400874,1100,0,13598.1293084429,13598.6292992429,13599.5710484,NaN,NaN,0
SX104,prp,0,4,7,letter_20,false_font_05,target,letter,center,letter_20,0.5,0.95,0.466,0.966,offset,1000,30,13599.5793541783,13600.4248436,1,,2,13600.5454896,NaN,NaN,13601.2165245,1,1000,13600.0792641429,13601.579229888,13602.5210739,NaN,NaN,0
SX104,prp,0,4,8,letter_20,false_font_05,irrelevant,face,center,face_12,1.5,1.68333333333333,0.116,1.616,offset,1100,82,13602.5292167332,NaN,0,,1,13604.1458635,NaN,NaN,13604.7535523,1100,0,13604.0291653429,13604.529157888,13606.2042413,NaN,NaN,0
SX104,prp,0,4,9,letter_20,false_font_05,irrelevant,face,center,face_15,0.5,0.95,0,0,onset,1100,85,13606.2124531783,NaN,0,,1,13606.2139763,NaN,NaN,13606.7269082,1100,0,13606.7124360429,13608.2124087783,13609.1542648,NaN,NaN,0
SX104,prp,0,4,10,letter_20,false_font_05,non-target,letter,center,letter_07,1.5,1.73333333333333,0.466,0.466,onset,1000,17,13609.1623838332,NaN,0,,2,13609.628525,NaN,NaN,13610.2489265,1000,0,13610.6623507136,13611.1623401332,13612.8875414,NaN,NaN,0
