sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset,RT_vis,RT_aud
SX104,prp,0,1,1,face_04,object_03,non-target,object,center,object_20,0.5,1.88333333333333,0.232,0.732,offset,1000,210,12622.6861948834,NaN,0,cr,2,12623.4192393,1000,1,12623.9988089,1000,0,12623.1861790432,12624.6861512353,12626.5614125,NaN,NaN,12613.0030910834,NaN,0.579569600000468
SX104,prp,0,1,2,face_04,object_03,target,face,left,face_04,1,0.766666666666667,0,0,onset,1000,94,12626.5694315353,12627.3117987,1,hit,2,12626.5704173,1000,1,12628.010411,1,1000,12627.5694154794,12628.5693924834,12629.3278415,NaN,NaN,0,0.742367164666575,1.43999369999983
SX104,prp,0,1,3,face_04,object_03,non-target,face,center,face_19,1,1.63333333333333,0.232,0.232,onset,1100,89,12629.3360262951,NaN,0,cr,1,12629.5682627,1100,1,12630.1268362,1100,0,12630.3360050873,12631.3359894873,12632.9610659,NaN,NaN,0,NaN,0.558573499998602
SX104,prp,0,1,4,face_04,object_03,target,object,center,object_03,1,1.31666666666667,0.232,0.232,onset,1000,193,12632.9692822834,12633.9494217,1,hit,2,12633.2015006,1000,1,12634.4604405,1,1000,12633.9692579196,12634.9692463196,12636.2776256,NaN,NaN,0,0.980139416629754,1.25893989999895
SX104,prp,0,1,5,face_04,object_03,irrelevant,false_font,right,false_font_07,1.5,0.85,0.466,1.966,offset,1000,177,12636.2858705834,NaN,0,cr,2,12638.2520835,1000,1,12638.8363889,1000,0,12637.7858211393,12638.2858216353,12639.1277267,NaN,NaN,0,NaN,0.584305399999721
SX104,prp,0,1,6,face_04,object_03,irrelevant,false_font,center,false_font_09,1,0.7,0.116,0.116,onset,1000,139,12639.1357991432,NaN,0,cr,2,12639.25201,1000,1,12640.2453853,1000,0,12640.1357790314,12641.1357549794,12641.8275574,NaN,NaN,0,NaN,0.99337530000048
SX104,prp,0,1,7,face_04,object_03,irrelevant,false_font,left,false_font_03,0.5,1.15,0.232,0.232,onset,1000,153,12641.8357314873,NaN,0,cr,2,12642.0679876,1100,0,12643.5668142,1100,0,12642.3357175353,12643.8356781432,12644.9774358,NaN,NaN,0,NaN,1.49882660000003
SX104,prp,0,1,8,face_04,object_03,irrelevant,letter,center,letter_16,1,0.85,0,0,onset,1100,26,12644.9856493393,NaN,0,cr,1,12644.9867076,1100,1,12646.057732,1100,0,12645.9856844353,12646.9856138314,12647.8273325,NaN,NaN,0,NaN,1.07102440000017
SX104,prp,0,1,9,face_04,object_03,irrelevant,false_font,right,false_font_14,1.5,1.38333333333333,0,1.5,offset,1000,184,12647.8355907353,NaN,0,cr,2,12649.336701,1000,1,12649.9759658,1000,0,12649.3355514912,12649.8355455794,12651.2107012,NaN,NaN,0,NaN,0.639264800000092
SX104,prp,0,1,10,face_04,object_03,irrelevant,false_font,center,false_font_06,1.5,0.8,0.232,0.232,onset,1000,136,12651.2188367353,NaN,0,cr,2,12651.4509273,1000,1,12652.07173,1000,0,12652.7187945353,12653.2188358353,12654.0106598,NaN,NaN,0,NaN,0.620802699999331
SX104,prp,0,1,11,face_04,object_03,non-target,face,center,face_09,0.5,1.16666666666667,0.466,0.966,offset,1100,79,12654.0187743353,NaN,0,cr,1,12654.9848627,1100,1,12655.5253394,1100,0,12654.5187626275,12656.0187209353,12657.1772621,NaN,NaN,0,NaN,0.540476699999999
SX104,prp,0,1,12,face_04,object_03,non-target,face,center,face_18,1,1.33333333333333,0.466,1.466,offset,1000,88,12657.1853584873,NaN,0,cr,2,12658.6515636,1000,1,12659.2204195,1000,0,12658.1853446236,12659.1853181353,12660.5105568,NaN,NaN,0,NaN,0.568855899999107
SX104,prp,0,1,13,face_04,object_03,non-target,object,center,object_18,1,0.816666666666667,0.232,1.232,offset,1000,208,12660.5186103873,NaN,0,cr,2,12661.7508301,1000,1,12662.2498051,1000,0,12661.5185895118,12662.5185663677,12663.3270725,NaN,NaN,0,NaN,0.498975000000428
SX104,prp,0,1,14,face_04,object_03,irrelevant,letter,center,letter_09,1,0.75,0.232,0.232,onset,1000,19,12663.3352203236,NaN,0,cr,2,12663.5673511,1000,1,12664.4179619,1000,0,12664.3351818314,12665.3352086353,12666.0769149,NaN,NaN,0,NaN,0.85061080000014
SX104,prp,0,1,15,face_04,object_03,non-target,object,right,object_02,0.5,0.8,0.466,0.466,onset,1100,232,12666.0851464873,NaN,0,cr,1,12666.5513283,1100,1,12667.0918981,1100,0,12666.5851277873,12668.0850953834,12668.8769228,NaN,NaN,0,NaN,0.540569799999503
SX104,prp,0,1,16,face_04,object_03,non-target,face,center,face_11,0.5,1.26666666666667,0.232,0.732,offset,1100,81,12668.8850813873,NaN,0,cr,1,12669.6172379,1100,1,12670.1603781,1100,0,12669.3850647873,12670.8850316314,12672.1435938,NaN,NaN,0,NaN,0.54314019999947
SX104,prp,0,1,17,face_04,object_03,non-target,face,center,face_14,1,1.56666666666667,0,0,onset,1100,84,12672.1516633353,NaN,0,cr,1,12672.1526137,1100,1,12672.7073608,1100,0,12673.1516547637,12674.1516238314,12675.7101557,NaN,NaN,0,NaN,0.554747099999076
