sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset,iRT_vis,iRT_aud
SX118,auditory_and_visual,1,0,1,practice_05,practice_08,target,false_font,center,practice_05,1,0.85,0.116,1.116,offset,1000,255,26431.6023386731,NaN,0,empty,2,26432.7185296,NaN,NaN,NaN,69,0,26432.6023197313,26433.6022449,26434.4440959,69,26433.2730015,26430.4690272627,198,160
SX118,auditory_and_visual,1,0,2,practice_05,practice_08,irrelevant,face,center,face_10,1.5,0.833333333333333,0.466,0.466,onset,1100,80,26439.668813797,NaN,0,,1,26440.1349099,NaN,NaN,NaN,0,0,26441.1687717865,26441.6687247,26442.494036,NaN,NaN,0,181,111
SX118,auditory_and_visual,1,0,3,practice_05,practice_08,irrelevant,object,center,object_05,1.5,0.9,0.232,0.232,onset,1100,195,26445.6853280179,NaN,0,,1,26445.9175229,NaN,NaN,NaN,0,0,26447.185282491,26447.6852828418,26448.5771723,NaN,NaN,0,120,51
SX118,auditory_and_visual,1,0,4,practice_05,practice_08,irrelevant,face,left,face_08,1,1.71666666666667,0.232,1.232,offset,1100,98,26454.8350523,NaN,0,,1,26456.0671967,NaN,NaN,NaN,0,0,26455.8350475,26456.8350399,26458.5435057,NaN,NaN,0,75,3
SX118,auditory_and_visual,1,0,5,practice_05,practice_08,irrelevant,object,center,object_03,1.5,1.3,0,1.5,offset,1100,193,26462.2515773,NaN,0,,1,26463.7524177,NaN,NaN,NaN,0,0,26463.7515606627,26464.251557,26465.5432995,NaN,NaN,0,499,467
SX118,auditory_and_visual,1,0,6,practice_05,practice_08,target,letter,center,practice_08,0.5,0.9,0.116,0.116,onset,1000,258,26468.2681239179,NaN,0,,2,26468.3844266,NaN,NaN,NaN,70,0,26468.7681144865,26470.2680423,26471.1598387,70,26469.5424093,0,902,490
SX118,auditory_and_visual,1,0,7,practice_05,practice_08,non-target,letter,center,letter_01,1,0.933333333333333,0,0,onset,1100,11,26473.3679773,NaN,0,,1,26473.3685623,NaN,NaN,NaN,0,0,26474.3679876313,26475.3679323,26476.2931001,NaN,NaN,0,663,411
SX118,auditory_and_visual,1,0,8,practice_05,practice_08,non-target,false_font,left,false_font_06,1.5,0.8,0.116,1.616,offset,1000,156,26478.4512213731,NaN,0,,2,26480.0672746,NaN,NaN,NaN,0,0,26479.9511858761,26480.4511799313,26481.2429641,NaN,NaN,0,646,367
SX118,auditory_and_visual,1,0,9,practice_05,practice_08,target,letter,right,practice_08,1,0.866666666666667,0.466,0.466,onset,1100,282,26483.2010724,NaN,0,,1,26483.6673011,NaN,NaN,NaN,70,0,26484.2010778865,26485.2009856,26486.0594709,70,26484.0100529,0,330,NaN
SX118,auditory_and_visual,1,0,10,practice_05,practice_08,non-target,false_font,left,false_font_13,0.5,1.71666666666667,0.232,0.732,offset,1000,163,26488.2176154,NaN,0,,2,26488.9498141,NaN,NaN,NaN,0,0,26488.7176745657,26490.2176013657,26491.9261574,NaN,NaN,0,78,215
SX118,auditory_and_visual,1,0,11,practice_05,practice_08,non-target,false_font,center,false_font_05,1,0.8,0.466,0.466,onset,1100,135,26495.0174939866,NaN,0,,1,26495.4836838,NaN,NaN,NaN,0,0,26496.0174372,26497.017405,26497.8093918,NaN,NaN,0,825,474
SX118,auditory_and_visual,1,0,12,practice_05,practice_08,irrelevant,object,center,object_01,0.5,1.26666666666667,0.466,0.466,onset,1000,191,26499.5673852731,NaN,0,,2,26500.0335876,NaN,NaN,NaN,0,0,26500.0673667418,26501.5673057,26502.8257511,NaN,NaN,0,761,659
