sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,iRT_aud
SX118,auditory,1,-2,1,practice_06,practice_07,irrelevant,object,center,object_01,0.5,1.26666666666667,0.466,0.466,onset,1000,191,25918.5812408253,NaN,0,empty,2,25919.0481601,NaN,NaN,25920.083194,1100,0,25919.0812277179,25920.5811266,25921.8396451,NaN,NaN,205
SX118,auditory,1,-2,2,practice_06,practice_07,non-target,letter,center,letter_17,0.5,0.8,0,0.5,offset,1100,27,25925.9643997657,NaN,0,,1,25926.4660633,NaN,NaN,25927.0771057,1100,0,25926.4643990104,25927.9643483657,25928.7561781,NaN,NaN,276
SX118,auditory,1,-2,3,practice_06,practice_07,target,false_font,right,practice_06,1,1.2,0.466,0.466,onset,1100,280,25931.2975641,NaN,0,,1,25931.7640733,NaN,NaN,25934.1162527,1000,0,25932.2975794104,25933.2975652865,25934.489508,NaN,NaN,956
SX118,auditory,1,-2,4,practice_06,practice_07,irrelevant,face,right,face_16,1,1.13333333333333,0,1,offset,1000,126,25937.7974478627,NaN,0,,2,25938.7990611,NaN,NaN,25939.385258,1000,0,25938.7974327313,25939.7973993,25940.9225331,NaN,NaN,301
SX118,auditory,1,-2,5,practice_06,practice_07,non-target,letter,center,letter_01,1,0.933333333333333,0,0,onset,1100,11,25943.7139845104,NaN,0,,1,25943.723858,NaN,NaN,25944.2393144,1100,0,25944.7138941,25945.7139132328,25946.6391244,NaN,NaN,402
SX118,auditory,1,-2,6,practice_06,practice_07,irrelevant,face,left,face_08,1.5,0.733333333333333,0,0,onset,1100,98,25949.897176,NaN,0,,1,25949.8984505,NaN,NaN,25951.0044094,1000,0,25951.3971334104,25951.8971455657,25952.6223308,NaN,NaN,734
SX118,auditory,1,-2,7,practice_06,practice_07,non-target,letter,left,letter_10,1,0.933333333333333,0.116,1.116,offset,1100,40,25954.9803934179,NaN,0,,1,25956.0967056,NaN,NaN,25956.9421117,1100,0,25955.9803117,25956.980298,25957.9056173,NaN,NaN,503
SX118,auditory,1,-2,8,practice_06,practice_07,non-target,letter,right,letter_13,0.5,0.8,0.116,0.616,offset,1000,63,25960.5302492313,NaN,0,,2,25961.146632,NaN,NaN,25962.1408137,1000,0,25961.0302251761,25962.530187994,25963.3220882,NaN,NaN,657
SX118,auditory,1,-2,9,practice_06,practice_07,non-target,letter,center,letter_12,0.5,0.8,0.466,0.466,onset,1000,22,25965.6800799,NaN,0,,2,25966.1463711,NaN,NaN,25966.6602399,1000,0,25966.1800686,25967.6801007657,25968.4719347,NaN,NaN,459
SX118,auditory,1,-2,10,practice_06,practice_07,non-target,false_font,right,false_font_12,1,0.733333333333333,0.232,0.232,onset,1000,182,25972.1799581418,NaN,0,,2,25972.412433,NaN,NaN,25972.9222006,1000,0,25973.1799375865,25974.179914597,25974.9051471,NaN,NaN,278
