sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset,iRT_vis
SX118,visual,1,-1,1,practice_06,practice_10,irrelevant,object,center,object_14,1.5,0.783333333333333,0.116,1.616,offset,1100,204,26160.8087904,NaN,0,empty,NaN,NaN,NaN,NaN,NaN,0,0,26162.3086931,26162.8087506179,26163.5840271,NaN,NaN,26157.5088345,151
SX118,visual,1,-1,2,practice_06,practice_10,non-target,letter,center,letter_11,1.5,0.733333333333333,0.116,0.116,onset,1100,21,26165.9919751,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26167.4919710866,26167.9919569418,26168.7171428,NaN,NaN,0,301
SX118,visual,1,-1,3,practice_06,practice_10,irrelevant,object,right,object_18,1.5,0.966666666666667,0,1.5,offset,1000,248,26171.0085689044,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26172.5084831,26173.0085169,26173.9670127,NaN,NaN,0,286
SX118,visual,1,-1,4,practice_06,practice_10,irrelevant,face,center,face_02,1,0.733333333333333,0.116,0.116,onset,1100,72,26176.4250897657,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26177.4250748761,26178.4250474313,26179.1502595,NaN,NaN,0,160
SX118,visual,1,-1,5,practice_06,practice_10,irrelevant,face,center,face_10,1.5,0.8,0.232,1.732,offset,1100,80,26181.2749849866,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26182.774914,26183.2749307209,26184.0667217,NaN,NaN,0,178
SX118,visual,1,-1,6,practice_06,practice_10,irrelevant,face,right,face_16,1,1.13333333333333,0,1,offset,1000,126,26187.5248334104,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26188.5248104313,26189.5247806865,26190.6498659,NaN,NaN,0,129
SX118,visual,1,-1,7,practice_06,practice_10,non-target,false_font,right,false_font_07,1.5,0.966666666666667,0.232,1.732,offset,1100,177,26193.6246626,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26195.1246515865,26195.6245577,26196.5831552,NaN,NaN,0,254
SX118,visual,1,-1,8,practice_06,practice_10,non-target,false_font,right,false_font_12,1,0.733333333333333,0.232,0.232,onset,1000,182,26199.2745093,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26200.2745241865,26201.2744622,26201.9995398,NaN,NaN,0,229
SX118,visual,1,-1,9,practice_06,practice_10,non-target,false_font,right,false_font_02,0.5,0.733333333333333,0,0,onset,1000,172,26204.8577394731,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26205.3576683,26206.8577046657,26207.5828427,NaN,NaN,0,277
SX118,visual,1,-1,10,practice_06,practice_10,irrelevant,object,center,object_05,1.5,0.9,0.232,0.232,onset,1100,195,26209.7242881,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26211.2242347,26211.7242247,26212.616176,NaN,NaN,0,209
SX118,visual,1,-1,11,practice_06,practice_10,non-target,letter,center,letter_17,0.5,0.8,0,0.5,offset,1100,27,26215.3408294522,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26215.8408065,26217.3407366,26218.1327365,NaN,NaN,0,433
SX118,visual,1,-1,12,practice_06,practice_10,non-target,letter,left,letter_03,1.5,0.916666666666667,0,1.5,offset,1000,33,26221.0406898522,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26222.5406041,26223.0406569104,26223.9492392,NaN,NaN,0,301
SX118,visual,1,-1,13,practice_06,practice_10,irrelevant,object,center,object_02,0.5,0.8,0,0,onset,1000,192,26226.3405242,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26226.8405626418,26228.3405217313,26229.1322916,NaN,NaN,0,232
SX118,visual,1,-1,14,practice_06,practice_10,non-target,letter,left,letter_03,0.5,0.75,0.116,0.616,offset,1000,33,26232.0570981418,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26232.5570924313,26234.0570129,26234.798819,NaN,NaN,0,230
SX118,visual,1,-1,15,practice_06,practice_10,non-target,false_font,left,false_font_06,1.5,0.8,0.116,1.616,offset,1000,156,26236.7569916731,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26238.2569451179,26238.7569168,26239.5488391,NaN,NaN,0,233
SX118,visual,1,-1,16,practice_06,practice_10,non-target,false_font,center,false_font_01,1.5,0.783333333333333,0.232,0.232,onset,1100,131,26241.9901854,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26243.4901659313,26243.9901481865,26244.765281,NaN,NaN,0,180
SX118,visual,1,-1,17,practice_06,practice_10,non-target,false_font,center,false_font_05,1,0.8,0.466,0.466,onset,1100,135,26246.790035,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26247.7900631865,26248.7900253179,26249.5817169,NaN,NaN,0,169
SX118,visual,1,-1,18,practice_06,practice_10,non-target,false_font,right,false_font_01,0.5,1.3,0.232,0.232,onset,1000,171,26252.0899499865,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26252.5899179,26254.0899124627,26255.3816445,NaN,NaN,0,173
SX118,visual,1,-1,19,practice_06,practice_10,non-target,letter,center,letter_01,1,0.933333333333333,0,0,onset,1100,11,26258.0564411,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26259.0564076,26260.0563908,26260.9816776,NaN,NaN,0,249
SX118,visual,1,-1,20,practice_06,practice_10,non-target,false_font,left,false_font_13,0.5,1.71666666666667,0.232,0.732,offset,1000,163,26263.5063164,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26264.0062745,26265.5062944283,26267.2148026,NaN,NaN,0,205
SX118,visual,1,-1,21,practice_06,practice_10,irrelevant,object,center,object_01,0.5,1.26666666666667,0.466,0.466,onset,1000,191,26270.3728245,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,26270.8727985,26272.3727988866,26273.6312537,NaN,NaN,0,109
