sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,texture,vis_stim_time,time_of_resp_vis,has_response_vis,trial_response_vis,aud_stim_buff,aud_stim_time,aud_resp,trial_accuracy_aud,time_of_resp_aud,trial_first_button_press,trial_second_button_press,fix_time,JitOnset,trial_end,wrong_key,wrong_key_timestemp,TargetScreenOnset,iRT_vis,iRT_aud
SX118,prp,0,1,1,face_20,object_09,non-target,object,left,object_19,1,1.85,0.466,0.466,onset,1000,229,27107.4695349866,NaN,0,empty,2,27107.9364951,NaN,NaN,NaN,0,0,27108.4695023536,27109.469490897,27111.3113023,NaN,NaN,27103.0363127761,61,586
SX118,prp,0,1,2,face_20,object_09,non-target,object,left,object_08,1,1.43333333333333,0.232,1.232,offset,1000,218,27116.6860056731,NaN,0,,2,27117.9181936,NaN,NaN,NaN,0,0,27117.685939,27118.6858979,27120.1112797,NaN,NaN,0,97,461
SX118,prp,0,1,3,face_20,object_09,irrelevant,letter,left,letter_06,1,1.6,0.466,0.466,onset,1000,36,27122.2525184313,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,4,face_20,object_09,non-target,object,center,object_20,1.5,0.866666666666667,0.466,0.466,onset,1000,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,5,face_20,object_09,irrelevant,false_font,center,false_font_20,1.5,1.46666666666667,0.232,1.732,offset,1000,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,6,face_20,object_09,non-target,object,center,object_15,1.5,1.88333333333333,0,0,onset,1100,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,7,face_20,object_09,non-target,object,right,object_18,0.5,1.5,0.232,0.732,offset,1000,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,8,face_20,object_09,non-target,object,center,object_06,1.5,1.16666666666667,0.232,1.732,offset,1000,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,9,face_20,object_09,non-target,face,right,face_07,1.5,0.833333333333333,0.232,0.232,onset,1100,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,10,face_20,object_09,irrelevant,false_font,left,false_font_07,1,1.18333333333333,0.232,1.232,offset,1000,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,11,face_20,object_09,irrelevant,letter,center,letter_07,1,1.9,0.466,0.466,onset,1000,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,12,face_20,object_09,target,object,left,object_09,1.5,0.883333333333333,0,1.5,offset,1100,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,13,face_20,object_09,irrelevant,letter,center,letter_16,0.5,1.05,0.466,0.466,onset,1000,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,14,face_20,object_09,irrelevant,false_font,right,false_font_02,1.5,1.25,0.466,0.466,onset,1100,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,15,face_20,object_09,irrelevant,letter,center,letter_17,0.5,1.16666666666667,0.466,0.966,offset,1000,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,16,face_20,object_09,irrelevant,false_font,center,false_font_09,1.5,1.93333333333333,0,0,onset,1000,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,17,face_20,object_09,non-target,face,center,face_03,0.5,1.8,0.232,0.732,offset,1100,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,18,face_20,object_09,non-target,face,right,face_14,0.5,1.03333333333333,0,0,onset,1100,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,19,face_20,object_09,irrelevant,letter,right,letter_03,0.5,0.8,0,0,onset,1100,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
SX118,prp,0,1,20,face_20,object_09,non-target,object,right,object_04,1,1.05,0.466,0.466,onset,1100,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0
